key	role	width	height	filename	incomingPath	officialPath	promptPath
dsh.product.apple.v1	product-image	800	600	dsh-product-apple-v1.png	_incoming\ai-media\dsh\products\dsh-product-apple-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-apple-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-apple-v1.prompt.md
dsh.product.bread.v1	product-image	800	600	dsh-product-bread-v1.png	_incoming\ai-media\dsh\products\dsh-product-bread-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-bread-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-bread-v1.prompt.md
dsh.product.chicken.v1	product-image	800	600	dsh-product-chicken-v1.png	_incoming\ai-media\dsh\products\dsh-product-chicken-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-chicken-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-chicken-v1.prompt.md
dsh.product.choco.v1	product-image	800	600	dsh-product-choco-v1.png	_incoming\ai-media\dsh\products\dsh-product-choco-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-choco-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-choco-v1.prompt.md
dsh.product.croissant.v1	product-image	800	600	dsh-product-croissant-v1.png	_incoming\ai-media\dsh\products\dsh-product-croissant-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-croissant-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-croissant-v1.prompt.md
dsh.product.milk.v1	product-image	800	600	dsh-product-milk-v1.png	_incoming\ai-media\dsh\products\dsh-product-milk-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-milk-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-milk-v1.prompt.md
dsh.product.pasta.v1	product-image	800	600	dsh-product-pasta-v1.png	_incoming\ai-media\dsh\products\dsh-product-pasta-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-pasta-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-pasta-v1.prompt.md
dsh.product.roll.v1	product-image	800	600	dsh-product-roll-v1.png	_incoming\ai-media\dsh\products\dsh-product-roll-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-roll-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-roll-v1.prompt.md
dsh.product.salad.v1	product-image	800	600	dsh-product-salad-v1.png	_incoming\ai-media\dsh\products\dsh-product-salad-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-salad-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-salad-v1.prompt.md
dsh.product.yogurt.v1	product-image	800	600	dsh-product-yogurt-v1.png	_incoming\ai-media\dsh\products\dsh-product-yogurt-v1.png	packages\media-fixtures\assets\seed\dsh\products\dsh-product-yogurt-v1.png	_incoming\ai-media\dsh\prompts\products\dsh-product-yogurt-v1.prompt.md
dsh.store.hadda.cover.v1	store-cover	900	700	dsh-store-hadda-cover-v1.png	_incoming\ai-media\dsh\stores\dsh-store-hadda-cover-v1.png	packages\media-fixtures\assets\seed\dsh\stores\dsh-store-hadda-cover-v1.png	_incoming\ai-media\dsh\prompts\stores\dsh-store-hadda-cover-v1.prompt.md
dsh.store.hittin.cover.v1	store-cover	900	700	dsh-store-hittin-cover-v1.png	_incoming\ai-media\dsh\stores\dsh-store-hittin-cover-v1.png	packages\media-fixtures\assets\seed\dsh\stores\dsh-store-hittin-cover-v1.png	_incoming\ai-media\dsh\prompts\stores\dsh-store-hittin-cover-v1.prompt.md
dsh.store.malqa.cover.v1	store-cover	900	700	dsh-store-malqa-cover-v1.png	_incoming\ai-media\dsh\stores\dsh-store-malqa-cover-v1.png	packages\media-fixtures\assets\seed\dsh\stores\dsh-store-malqa-cover-v1.png	_incoming\ai-media\dsh\prompts\stores\dsh-store-malqa-cover-v1.prompt.md
dsh.banner.home.promo-1.v1	banner	1200	680	dsh-banner-home-promo-1-v1.png	_incoming\ai-media\dsh\banners\dsh-banner-home-promo-1-v1.png	packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-1-v1.png	_incoming\ai-media\dsh\prompts\banners\dsh-banner-home-promo-1-v1.prompt.md
dsh.banner.home.promo-2.v1	banner	1200	680	dsh-banner-home-promo-2-v1.png	_incoming\ai-media\dsh\banners\dsh-banner-home-promo-2-v1.png	packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-2-v1.png	_incoming\ai-media\dsh\prompts\banners\dsh-banner-home-promo-2-v1.prompt.md
dsh.banner.home.promo-3.v1	banner	1200	680	dsh-banner-home-promo-3-v1.png	_incoming\ai-media\dsh\banners\dsh-banner-home-promo-3-v1.png	packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-3-v1.png	_incoming\ai-media\dsh\prompts\banners\dsh-banner-home-promo-3-v1.prompt.md
dsh.banner.home.promo-4.v1	banner	1200	680	dsh-banner-home-promo-4-v1.png	_incoming\ai-media\dsh\banners\dsh-banner-home-promo-4-v1.png	packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-4-v1.png	_incoming\ai-media\dsh\prompts\banners\dsh-banner-home-promo-4-v1.prompt.md
dsh.banner.home.promo-5.v1	banner	1200	680	dsh-banner-home-promo-5-v1.png	_incoming\ai-media\dsh\banners\dsh-banner-home-promo-5-v1.png	packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-5-v1.png	_incoming\ai-media\dsh\prompts\banners\dsh-banner-home-promo-5-v1.prompt.md
dsh.banner.home.promo-6.v1	banner	1200	680	dsh-banner-home-promo-6-v1.png	_incoming\ai-media\dsh\banners\dsh-banner-home-promo-6-v1.png	packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-6-v1.png	_incoming\ai-media\dsh\prompts\banners\dsh-banner-home-promo-6-v1.prompt.md
dsh.banner.home.promo-7.v1	banner	1200	680	dsh-banner-home-promo-7-v1.png	_incoming\ai-media\dsh\banners\dsh-banner-home-promo-7-v1.png	packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-7-v1.png	_incoming\ai-media\dsh\prompts\banners\dsh-banner-home-promo-7-v1.prompt.md
