role	width	height	targetPath	sourcePath
banner	1200	680	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-1-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_19_14 PM.png
banner	1200	680	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-2-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_18_17 PM.png
banner	1200	680	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-3-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_16_08 PM.png
banner	1200	680	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-4-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_15_29 PM.png
banner	1200	680	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-5-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_34_00 PM.png
banner	1200	680	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-6-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_33_58 PM.png
banner	1200	680	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\banners\dsh-banner-home-promo-7-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_33_55 PM.png
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-apple-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_33_53 PM.png
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-bread-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_33_50 PM.png
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-chicken-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_33_47 PM.png
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-choco-v1.png	C:\Users\b\Downloads\ChatGPT Image Apr 21, 2026, 04_33_44 PM.png
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-croissant-v1.png	TODO_SOURCE_PATH
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-milk-v1.png	TODO_SOURCE_PATH
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-pasta-v1.png	TODO_SOURCE_PATH
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-roll-v1.png	TODO_SOURCE_PATH
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-salad-v1.png	TODO_SOURCE_PATH
product	800	600	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\products\dsh-product-yogurt-v1.png	TODO_SOURCE_PATH
store	900	700	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\stores\dsh-store-hadda-cover-v1.png	TODO_SOURCE_PATH
store	900	700	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\stores\dsh-store-hittin-cover-v1.png	TODO_SOURCE_PATH
store	900	700	C:\bthwani-suite\packages\media-fixtures\assets\seed\dsh\stores\dsh-store-malqa-cover-v1.png	TODO_SOURCE_PATH
