"entity_id","entity_type","canonical_name","disposition","owner_layer","target_repo_path","target_wave"
"ENT_1","operation","amn_booking_create","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_2","operation","amn_captain_status_update","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_3","operation","amn_captain_tier_evaluate","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_4","operation","amn_captain_tier_info","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_5","operation","amn_captains_nearby","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_6","operation","amn_estimate_create","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_7","operation","amn_estimate_get","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_8","operation","amn_sos_trigger","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_9","operation","amn_trip_activate","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_10","operation","amn_trip_assign","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_11","operation","amn_trip_complete","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_12","operation","amn_trip_create","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_13","operation","amn_trip_get","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_14","operation","amn_trip_quote_create","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_15","operation","amn_trip_rate","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
