"operation_id","canonical_name","donor_aliases","owner","actors","surfaces","operation_type","trigger","state_effect","classification","source_trace"
"amn_booking_create","amn_booking_create","amn_booking_create","services/amn","PASSENGER_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_booking:mutation","services/amn/governance/operations/amn_booking_create/OP_SPEC.yaml"
"amn_captain_status_update","amn_captain_status_update","amn_captain_status_update","services/amn","CAPTAIN_APP_CAPTAIN","app-captain","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_captain_status:mutation","services/amn/governance/operations/amn_captain_status_update/OP_SPEC.yaml"
"amn_captain_tier_evaluate","amn_captain_tier_evaluate","amn_captain_tier_evaluate","services/amn","CONTROL_PANEL_OPS, CONTROL_PANEL_FINANCE","app-captain|control-panel","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_captain_tier:mutation","services/amn/governance/operations/amn_captain_tier_evaluate/OP_SPEC.yaml"
"amn_captain_tier_info","amn_captain_tier_info","amn_captain_tier_info","services/amn","CAPTAIN_APP_CAPTAIN","app-captain","READ","query_or_screen_load","read_only","amn_captain_tier:read","services/amn/governance/operations/amn_captain_tier_info/OP_SPEC.yaml"
"amn_captains_nearby","amn_captains_nearby","amn_captains_nearby","services/amn","PASSENGER_APP_CLIENT, CAPTAIN_APP_CAPTAIN","app-captain|app-client","READ","query_or_screen_load","read_only","amn_captains:read","services/amn/governance/operations/amn_captains_nearby/OP_SPEC.yaml"
"amn_estimate_create","amn_estimate_create","amn_estimate_create","services/amn","PASSENGER_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_estimate:mutation","services/amn/governance/operations/amn_estimate_create/OP_SPEC.yaml"
"amn_estimate_get","amn_estimate_get","amn_estimate_get","services/amn","PASSENGER_APP_CLIENT","app-client","READ","query_or_screen_load","read_only","amn_estimate:read","services/amn/governance/operations/amn_estimate_get/OP_SPEC.yaml"
"amn_sos_trigger","amn_sos_trigger","amn_sos_trigger","services/amn","PASSENGER_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_sos:mutation","services/amn/governance/operations/amn_sos_trigger/OP_SPEC.yaml"
"amn_trip_activate","amn_trip_activate","amn_trip_activate","services/amn","CAPTAIN_APP_CAPTAIN","app-captain","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip:mutation","services/amn/governance/operations/amn_trip_activate/OP_SPEC.yaml"
"amn_trip_assign","amn_trip_assign","amn_trip_assign","services/amn","CONTROL_PANEL_OPS","control-panel","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip:mutation","services/amn/governance/operations/amn_trip_assign/OP_SPEC.yaml"
