"screen_id","canonical_name","donor_aliases","unit_type","surface","actor","route","related_operations","related_journeys","primary_cta","states","donor_trace"
"SCR_1","amn_captain_captains_nearby","AmnCaptainCaptainsNearby","component_screen","app-captain","captain","/captain/amn/captain/captains/nearby","amn_captains_nearby","","open_nearby_captains","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_captains_nearby/OP_SCREENS_MAP.csv"
"SCR_2","amn_captain_offers_list","AmnCaptainOffersList","component_screen","app-captain","captain","/captain/amn/captain/offers/list","amn_trip_quote_create","","open_amn_workspace","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_trip_quote_create/OP_SCREENS_MAP.csv"
"SCR_3","amn_captain_status_update","AmnCaptainStatusUpdate","component_screen","app-captain","captain","/captain/amn/captain/status/update","amn_captain_status_update|amn_trip_status_update","","open_amn_workspace","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_captain_status_update/OP_SCREENS_MAP.csv|services/amn/governance/operations/amn_trip_status_update/OP_SCREENS_MAP.csv"
"SCR_4","amn_captain_tier_evaluate","AmnCaptainTierEvaluate","component_screen","app-captain","captain","/captain/amn/captain/tier/evaluate","amn_captain_tier_evaluate","","open_amn_workspace","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_captain_tier_evaluate/OP_SCREENS_MAP.csv"
"SCR_5","amn_captain_tier_info","AmnCaptainTierInfo","component_screen","app-captain","captain","/captain/amn/captain/tier/info","amn_captain_tier_info","","open_amn_workspace","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_captain_tier_info/OP_SCREENS_MAP.csv"
"SCR_6","amn_captain_trip_assigned_get","AmnCaptainTripAssignedGet","component_screen","app-captain","captain","/captain/amn/captain/trip/assigned/get","amn_trip_activate|amn_trip_complete|amn_trip_verify","","open_amn_workspace","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_trip_activate/OP_SCREENS_MAP.csv|services/amn/governance/operations/amn_trip_complete/OP_SCREENS_MAP.csv|services/amn/governance/operations/amn_trip_verify/OP_SCREENS_MAP.csv"
"SCR_7","amn_home","AmnHome","component_screen","app-client","passenger","/amn/home","amn_captains_nearby","","open_amn_workspace","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_captains_nearby/OP_SCREENS_MAP.csv"
"SCR_8","amn_control_panel_finance_analytics","CONTROL_PANEL_Finance_Analytics","component_screen","control-panel","ops|finance|support","/operations/amn/control-panel/finance/analytics","amn_captain_tier_evaluate","","open_amn_workspace","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_captain_tier_evaluate/OP_SCREENS_MAP.csv"
"SCR_9","amn_control_panel_operations","CONTROL_PANEL_Operations","component_screen","control-panel","ops|finance|support","/operations/amn/control-panel/operations","amn_trip_assign|amn_trip_update","","open_amn_workspace","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_trip_assign/OP_SCREENS_MAP.csv|services/amn/governance/operations/amn_trip_update/OP_SCREENS_MAP.csv"
"SCR_10","amn_quote_create","AmnQuoteCreate","component_screen","app-client","passenger","/amn/quote/create","amn_trip_quote_create","","open_pricing_estimate","loading|empty|error|success|offline|disabled","services/amn/governance/operations/amn_trip_quote_create/OP_SCREENS_MAP.csv"
