"queue_order","wave_id","item_id","item_type","canonical_name","surface","owner_layer","target_repo_path","files_to_touch","depends_on","opens_next","ui_kit_prereq","contract_prereq","binding_prereq","runtime_prereq","acceptance_gate","status","blocked_by","notes"
"1","W01_FIRST_ACTIVE_BUNDLE","SCR_10","screen","amn_quote_create","app-client","packages/surfaces","packages/surfaces/src/amn/amn_quote_create","packages/surfaces/src/amn/amn_quote_create.tsx|docs/services/amn/screens/amn_quote_create.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"2","W01_FIRST_ACTIVE_BUNDLE","SCR_13","screen","amn_trip_estimate","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trip_estimate","packages/surfaces/src/amn/amn_trip_estimate.tsx|docs/services/amn/screens/amn_trip_estimate.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"3","W01_FIRST_ACTIVE_BUNDLE","SCR_12","screen","amn_trip_estimate_get","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trip_estimate_get","packages/surfaces/src/amn/amn_trip_estimate_get.tsx|docs/services/amn/screens/amn_trip_estimate_get.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"4","W02_CLIENT_TRIP_FLOW","SCR_7","screen","amn_home","app-client","packages/surfaces","packages/surfaces/src/amn/amn_home","packages/surfaces/src/amn/amn_home.tsx|docs/services/amn/screens/amn_home.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"5","W02_CLIENT_TRIP_FLOW","SCR_11","screen","amn_trip_create","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trip_create","packages/surfaces/src/amn/amn_trip_create.tsx|docs/services/amn/screens/amn_trip_create.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"6","W02_CLIENT_TRIP_FLOW","SCR_14","screen","amn_trip_get","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trip_get","packages/surfaces/src/amn/amn_trip_get.tsx|docs/services/amn/screens/amn_trip_get.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"7","W02_CLIENT_TRIP_FLOW","SCR_15","screen","amn_trip_rate","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trip_rate","packages/surfaces/src/amn/amn_trip_rate.tsx|docs/services/amn/screens/amn_trip_rate.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"8","W02_CLIENT_TRIP_FLOW","SCR_16","screen","amn_trip_receipt_get","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trip_receipt_get","packages/surfaces/src/amn/amn_trip_receipt_get.tsx|docs/services/amn/screens/amn_trip_receipt_get.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"9","W02_CLIENT_TRIP_FLOW","SCR_17","screen","amn_trip_status_update","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trip_status_update","packages/surfaces/src/amn/amn_trip_status_update.tsx|docs/services/amn/screens/amn_trip_status_update.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"10","W02_CLIENT_TRIP_FLOW","SCR_18","screen","amn_trip_track","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trip_track","packages/surfaces/src/amn/amn_trip_track.tsx|docs/services/amn/screens/amn_trip_track.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"11","W02_CLIENT_TRIP_FLOW","SCR_19","screen","amn_trips_list","app-client","packages/surfaces","packages/surfaces/src/amn/amn_trips_list","packages/surfaces/src/amn/amn_trips_list.tsx|docs/services/amn/screens/amn_trips_list.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
