"screen_id","canonical_name","surface","canonical_route","target_app_shell","nav_owner","status"
"SCR_1","amn_captain_captains_nearby","app-captain","/captain/amn/captain/captains/nearby","apps/mobile/app-captain","packages/surfaces","ready"
"SCR_2","amn_captain_offers_list","app-captain","/captain/amn/captain/offers/list","apps/mobile/app-captain","packages/surfaces","ready"
"SCR_3","amn_captain_status_update","app-captain","/captain/amn/captain/status/update","apps/mobile/app-captain","packages/surfaces","ready"
"SCR_4","amn_captain_tier_evaluate","app-captain","/captain/amn/captain/tier/evaluate","apps/mobile/app-captain","packages/surfaces","ready"
"SCR_5","amn_captain_tier_info","app-captain","/captain/amn/captain/tier/info","apps/mobile/app-captain","packages/surfaces","ready"
"SCR_6","amn_captain_trip_assigned_get","app-captain","/captain/amn/captain/trip/assigned/get","apps/mobile/app-captain","packages/surfaces","ready"
"SCR_7","amn_home","app-client","/amn/home","apps/mobile/app-client","packages/surfaces","ready"
"SCR_8","amn_control_panel_finance_analytics","control-panel","/operations/amn/control-panel/finance/analytics","apps/web/control-panel","packages/surfaces","ready"
"SCR_9","amn_control_panel_operations","control-panel","/operations/amn/control-panel/operations","apps/web/control-panel","packages/surfaces","ready"
"SCR_10","amn_quote_create","app-client","/amn/quote/create","apps/mobile/app-client","packages/surfaces","ready"
"SCR_11","amn_trip_create","app-client","/amn/trip/create","apps/mobile/app-client","packages/surfaces","ready"
"SCR_12","amn_trip_estimate_get","app-client","/amn/trip/estimate/get","apps/mobile/app-client","packages/surfaces","ready"
"SCR_13","amn_trip_estimate","app-client","/amn/trip/estimate","apps/mobile/app-client","packages/surfaces","ready"
"SCR_14","amn_trip_get","app-client","/amn/trip/get","apps/mobile/app-client","packages/surfaces","ready"
"SCR_15","amn_trip_rate","app-client","/amn/trip/rate","apps/mobile/app-client","packages/surfaces","ready"
"SCR_16","amn_trip_receipt_get","app-client","/amn/trip/receipt/get","apps/mobile/app-client","packages/surfaces","ready"
"SCR_17","amn_trip_status_update","app-client","/amn/trip/status/update","apps/mobile/app-client","packages/surfaces","ready"
"SCR_18","amn_trip_track","app-client","/amn/trip/track","apps/mobile/app-client","packages/surfaces","ready"
"SCR_19","amn_trips_list","app-client","/amn/trips/list","apps/mobile/app-client","packages/surfaces","ready"
"SCR_20","amn_control_operations_hub","control-panel","/operations/amn/operations","apps/web/control-panel","packages/surfaces","ready"
"SCR_21","amn_control_support_hub","control-panel","/operations/amn/support","apps/web/control-panel","packages/surfaces","ready"
"SCR_22","amn_control_finance_hub","control-panel","/operations/amn/finance","apps/web/control-panel","packages/surfaces","ready"
"SCR_23","amn_control_analytics_hub","control-panel","/operations/amn/analytics","apps/web/control-panel","packages/surfaces","ready"
"SCR_24","amn_control_security_hub","control-panel","/operations/amn/security","apps/web/control-panel","packages/surfaces","ready"
"SCR_25","amn_control_quality_hub","control-panel","/operations/amn/quality","apps/web/control-panel","packages/surfaces","ready"
"SCR_26","amn_trip_track_get","app-captain","/captain/amn/trip/track/get","apps/mobile/app-captain","packages/surfaces","ready"

