"screen_id","viewmodel_id","hook_or_controller_name","target_package_or_app","api_client_needed","read_models","write_actions","error_normalization_required","status"
"SCR_1","vm_amn_captain_captains_nearby","use_amn_captain_captains_nearby","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_2","vm_amn_captain_offers_list","use_amn_captain_offers_list","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_3","vm_amn_captain_status_update","use_amn_captain_status_update","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_4","vm_amn_captain_tier_evaluate","use_amn_captain_tier_evaluate","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_5","vm_amn_captain_tier_info","use_amn_captain_tier_info","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_6","vm_amn_captain_trip_assigned_get","use_amn_captain_trip_assigned_get","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_7","vm_amn_home","use_amn_home","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_8","vm_amn_control_panel_finance_analytics","use_amn_control_panel_finance_analytics","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_9","vm_amn_control_panel_operations","use_amn_control_panel_operations","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_10","vm_amn_quote_create","use_amn_quote_create","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_11","vm_amn_trip_create","use_amn_trip_create","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_12","vm_amn_trip_estimate_get","use_amn_trip_estimate_get","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_13","vm_amn_trip_estimate","use_amn_trip_estimate","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_14","vm_amn_trip_get","use_amn_trip_get","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_15","vm_amn_trip_rate","use_amn_trip_rate","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_16","vm_amn_trip_receipt_get","use_amn_trip_receipt_get","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_17","vm_amn_trip_status_update","use_amn_trip_status_update","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_18","vm_amn_trip_track","use_amn_trip_track","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_19","vm_amn_trips_list","use_amn_trips_list","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_20","vm_amn_control_operations_hub","use_amn_control_operations_hub","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_21","vm_amn_control_support_hub","use_amn_control_support_hub","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_22","vm_amn_control_finance_hub","use_amn_control_finance_hub","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_23","vm_amn_control_analytics_hub","use_amn_control_analytics_hub","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_24","vm_amn_control_security_hub","use_amn_control_security_hub","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_25","vm_amn_control_quality_hub","use_amn_control_quality_hub","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"
"SCR_26","vm_amn_trip_track_get","use_amn_trip_track_get","packages/surfaces","yes","trip|captain|pricing","cta_mutations","yes","ready"

