"operation_id","service_method_name","target_service_path","input_shape","output_shape","policy_notes","audit_trace_required","idempotency_required","runtime_truth_class","status"
"amn_booking_create","execute_amn_booking_create","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_captain_status_update","execute_amn_captain_status_update","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_captain_tier_evaluate","execute_amn_captain_tier_evaluate","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_captain_tier_info","execute_amn_captain_tier_info","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","no","service_runtime","ready"
"amn_captains_nearby","execute_amn_captains_nearby","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","no","service_runtime","ready"
"amn_estimate_create","execute_amn_estimate_create","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_estimate_get","execute_amn_estimate_get","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","no","service_runtime","ready"
"amn_sos_trigger","execute_amn_sos_trigger","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_activate","execute_amn_trip_activate","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_assign","execute_amn_trip_assign","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_complete","execute_amn_trip_complete","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_create","execute_amn_trip_create","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_get","execute_amn_trip_get","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","no","service_runtime","ready"
"amn_trip_quote_create","execute_amn_trip_quote_create","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_rate","execute_amn_trip_rate","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_receipt_get","execute_amn_trip_receipt_get","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","no","service_runtime","ready"
"amn_trip_report","execute_amn_trip_report","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_status_update","execute_amn_trip_status_update","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_track_get","execute_amn_trip_track_get","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","no","service_runtime","ready"
"amn_trip_update","execute_amn_trip_update","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trip_verify","execute_amn_trip_verify","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"amn_trips_list","execute_amn_trips_list","services/amn/src","contract_input","contract_output","rbac_abac_applies","yes","no","service_runtime","ready"
