"operation_id","service_method_name","status"
"amn_booking_create","execute_amn_booking_create","ready"
"amn_captain_status_update","execute_amn_captain_status_update","ready"
"amn_captain_tier_evaluate","execute_amn_captain_tier_evaluate","ready"
"amn_captain_tier_info","execute_amn_captain_tier_info","ready"
"amn_captains_nearby","execute_amn_captains_nearby","ready"
"amn_estimate_create","execute_amn_estimate_create","ready"
"amn_estimate_get","execute_amn_estimate_get","ready"
"amn_sos_trigger","execute_amn_sos_trigger","ready"
"amn_trip_activate","execute_amn_trip_activate","ready"
"amn_trip_assign","execute_amn_trip_assign","ready"
"amn_trip_complete","execute_amn_trip_complete","ready"
"amn_trip_create","execute_amn_trip_create","ready"
"amn_trip_get","execute_amn_trip_get","ready"
"amn_trip_quote_create","execute_amn_trip_quote_create","ready"
"amn_trip_rate","execute_amn_trip_rate","ready"
"amn_trip_receipt_get","execute_amn_trip_receipt_get","ready"
"amn_trip_report","execute_amn_trip_report","ready"
"amn_trip_status_update","execute_amn_trip_status_update","ready"
"amn_trip_track_get","execute_amn_trip_track_get","ready"
"amn_trip_update","execute_amn_trip_update","ready"
"amn_trip_verify","execute_amn_trip_verify","ready"
"amn_trips_list","execute_amn_trips_list","ready"
