"screen_id","canonical_name","surface","actor","group_name","mapped_wave","related_operations"
"SCR_1","amn_captain_captains_nearby","app-captain","captain","captain_trip_ops","W04_SUPPORT_AND_MODERATION","amn_captains_nearby"
"SCR_2","amn_captain_offers_list","app-captain","captain","captain_trip_ops","W04_SUPPORT_AND_MODERATION","amn_trip_quote_create"
"SCR_3","amn_captain_status_update","app-captain","captain","captain_trip_ops","W04_SUPPORT_AND_MODERATION","amn_captain_status_update|amn_trip_status_update"
"SCR_4","amn_captain_tier_evaluate","app-captain","captain","captain_trip_ops","W04_SUPPORT_AND_MODERATION","amn_captain_tier_evaluate"
"SCR_5","amn_captain_tier_info","app-captain","captain","captain_trip_ops","W04_SUPPORT_AND_MODERATION","amn_captain_tier_info"
"SCR_6","amn_captain_trip_assigned_get","app-captain","captain","captain_trip_ops","W04_SUPPORT_AND_MODERATION","amn_trip_activate|amn_trip_complete|amn_trip_verify"
"SCR_7","amn_home","app-client","passenger","client_trip_flow","W02_CLIENT_TRIP_FLOW","amn_captains_nearby"
"SCR_8","amn_control_panel_finance_analytics","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","amn_captain_tier_evaluate"
"SCR_9","amn_control_panel_operations","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","amn_trip_assign|amn_trip_update"
"SCR_10","amn_quote_create","app-client","passenger","client_discovery","W01_FIRST_ACTIVE_BUNDLE","amn_trip_quote_create"
"SCR_11","amn_trip_create","app-client","passenger","client_trip_flow","W02_CLIENT_TRIP_FLOW","amn_booking_create|amn_trip_create"
"SCR_12","amn_trip_estimate_get","app-client","passenger","client_discovery","W01_FIRST_ACTIVE_BUNDLE","amn_estimate_get"
"SCR_13","amn_trip_estimate","app-client","passenger","client_discovery","W01_FIRST_ACTIVE_BUNDLE","amn_estimate_create"
"SCR_14","amn_trip_get","app-client","passenger","client_trip_flow","W02_CLIENT_TRIP_FLOW","amn_trip_get|amn_trip_report"
"SCR_15","amn_trip_rate","app-client","passenger","client_trip_flow","W02_CLIENT_TRIP_FLOW","amn_trip_rate"
"SCR_16","amn_trip_receipt_get","app-client","passenger","client_trip_flow","W02_CLIENT_TRIP_FLOW","amn_trip_receipt_get"
"SCR_17","amn_trip_status_update","app-client","passenger","client_trip_flow","W02_CLIENT_TRIP_FLOW","amn_trip_status_update"
"SCR_18","amn_trip_track","app-client","passenger","client_trip_flow","W02_CLIENT_TRIP_FLOW","amn_sos_trigger"
"SCR_19","amn_trips_list","app-client","passenger","client_trip_flow","W02_CLIENT_TRIP_FLOW","amn_trips_list"
"SCR_20","amn_control_operations_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","amn_booking_create|amn_captain_status_update|amn_captain_tier_evaluate|amn_captains_nearby|amn_trip_activate|amn_trip_assign|amn_trip_complete|amn_trip_create|amn_trip_status_update|amn_trip_update|amn_trip_verify"
"SCR_21","amn_control_support_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","amn_sos_trigger|amn_trip_report"
"SCR_22","amn_control_finance_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","amn_captain_tier_evaluate|amn_captain_tier_info|amn_trip_complete|amn_trip_receipt_get"
"SCR_23","amn_control_analytics_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","amn_captain_status_update|amn_captain_tier_info|amn_estimate_create|amn_estimate_get|amn_trip_create|amn_trip_quote_create|amn_trip_rate|amn_trip_receipt_get|amn_trip_status_update|amn_trips_list"
"SCR_24","amn_control_security_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","amn_sos_trigger|amn_trip_verify"
"SCR_25","amn_control_quality_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","amn_trip_rate|amn_trip_report"
"SCR_26","amn_trip_track_get","app-captain","captain","captain_trip_ops","W04_SUPPORT_AND_MODERATION","amn_trip_track_get"

