"operation_id","operation_type","owner","chain","surfaces","source_trace"
"amn_booking_create","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-client","services/amn/governance/operations/amn_booking_create/OP_SPEC.yaml"
"amn_captain_status_update","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain","services/amn/governance/operations/amn_captain_status_update/OP_SPEC.yaml"
"amn_captain_tier_evaluate","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain|control-panel","services/amn/governance/operations/amn_captain_tier_evaluate/OP_SPEC.yaml"
"amn_captain_tier_info","READ","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain","services/amn/governance/operations/amn_captain_tier_info/OP_SPEC.yaml"
"amn_captains_nearby","READ","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain|app-client","services/amn/governance/operations/amn_captains_nearby/OP_SPEC.yaml"
"amn_estimate_create","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-client","services/amn/governance/operations/amn_estimate_create/OP_SPEC.yaml"
"amn_estimate_get","READ","services/amn","surface->viewmodel->api_client->service_method->contract","app-client","services/amn/governance/operations/amn_estimate_get/OP_SPEC.yaml"
"amn_sos_trigger","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-client","services/amn/governance/operations/amn_sos_trigger/OP_SPEC.yaml"
"amn_trip_activate","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain","services/amn/governance/operations/amn_trip_activate/OP_SPEC.yaml"
"amn_trip_assign","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","control-panel","services/amn/governance/operations/amn_trip_assign/OP_SPEC.yaml"
"amn_trip_complete","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain","services/amn/governance/operations/amn_trip_complete/OP_SPEC.yaml"
"amn_trip_create","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-client","services/amn/governance/operations/amn_trip_create/OP_SPEC.yaml"
"amn_trip_get","READ","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain|app-client|control-panel","services/amn/governance/operations/amn_trip_get/OP_RBAC_ABAC.csv"
"amn_trip_quote_create","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain|app-client","services/amn/governance/operations/amn_trip_quote_create/OP_SPEC.yaml"
"amn_trip_rate","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-client","services/amn/governance/operations/amn_trip_rate/OP_SPEC.yaml"
"amn_trip_receipt_get","READ","services/amn","surface->viewmodel->api_client->service_method->contract","app-client|control-panel","services/amn/governance/operations/amn_trip_receipt_get/OP_SPEC.yaml"
"amn_trip_report","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-client","services/amn/governance/operations/amn_trip_report/OP_SPEC.yaml"
"amn_trip_status_update","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain|app-client","services/amn/governance/operations/amn_trip_status_update/OP_SPEC.yaml"
"amn_trip_track_get","READ","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain|app-client|control-panel","services/amn/governance/operations/amn_trip_track_get/OP_RBAC_ABAC.csv"
"amn_trip_update","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","control-panel","services/amn/governance/operations/amn_trip_update/OP_SPEC.yaml"
"amn_trip_verify","MUTATION","services/amn","surface->viewmodel->api_client->service_method->contract","app-captain","services/amn/governance/operations/amn_trip_verify/OP_SPEC.yaml"
"amn_trips_list","READ","services/amn","surface->viewmodel->api_client->service_method->contract","app-client","services/amn/governance/operations/amn_trips_list/OP_SPEC.yaml"
