"entity_id","entity_type","canonical_name","disposition","owner_layer","target_repo_path","target_wave"
"ENT_1","operation","arb_amendment_create","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_2","operation","arb_booking_accept","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_3","operation","arb_booking_activate","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_4","operation","arb_booking_approve","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_5","operation","arb_booking_assign","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_6","operation","arb_booking_complete","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_7","operation","arb_booking_create","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_8","operation","arb_booking_list","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_9","operation","arb_booking_rate","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_10","operation","arb_booking_update","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_11","operation","arb_booking_verify","EXTRACT_PARTIAL","services/arb + contracts/master + packages/api-clients","services/arb + contracts/master","W02-W09"
"ENT_12","screen","arb_amendment_create","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_13","screen","arb_booking_accept_screen","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_14","screen","arb_booking_activate_screen","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_15","screen","arb_booking_approve_screen","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_16","screen","arb_booking_assign_screen","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_17","screen","arb_booking_complete_screen","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_18","screen","arb_booking_create","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_19","screen","arb_booking_rate_screen","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_20","screen","arb_booking_status_update","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
