"operation_id","canonical_name","donor_aliases","owner","actors","surfaces","operation_type","trigger","state_effect","classification","source_trace"
"arb_amendment_create","arb_amendment_create","arb_amendment_create","services/arb","CLIENT_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_amendment:mutation","services/arb/governance/operations/arb_amendment_create/OP_SPEC.yaml"
"arb_booking_accept","arb_booking_accept","arb_booking_accept","services/arb","PARTNER_APP_PARTNER","app-partner","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_accept/OP_SPEC.yaml"
"arb_booking_activate","arb_booking_activate","arb_booking_activate","services/arb","PARTNER_APP_PARTNER","app-partner","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_activate/OP_SPEC.yaml"
"arb_booking_approve","arb_booking_approve","arb_booking_approve","services/arb","PARTNER_APP_PARTNER","app-partner","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_approve/OP_SPEC.yaml"
"arb_booking_assign","arb_booking_assign","arb_booking_assign","services/arb","PARTNER_APP_PARTNER","app-partner","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_assign/OP_SPEC.yaml"
"arb_booking_complete","arb_booking_complete","arb_booking_complete","services/arb","PARTNER_APP_PARTNER","app-partner","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_complete/OP_SPEC.yaml"
"arb_booking_create","arb_booking_create","arb_booking_create","services/arb","CLIENT_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_create/OP_SPEC.yaml"
"arb_booking_list","arb_booking_list","arb_booking_list","services/arb","CLIENT_APP_CLIENT","app-client|app-partner","READ","query_or_screen_load","read_only","arb_booking:read","services/arb/governance/operations/arb_booking_list/OP_SPEC.yaml"
"arb_booking_rate","arb_booking_rate","arb_booking_rate","services/arb","CLIENT_APP_CLIENT","app-client|app-partner","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_rate/OP_SPEC.yaml"
"arb_booking_update","arb_booking_update","arb_booking_update","services/arb","CLIENT_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_update/OP_SPEC.yaml"
"arb_booking_verify","arb_booking_verify","arb_booking_verify","services/arb","PARTNER_APP_PARTNER","app-partner","MUTATION","primary_cta_or_workflow_step","state_mutation","arb_booking:mutation","services/arb/governance/operations/arb_booking_verify/OP_SPEC.yaml"

