"screen_id","canonical_name","donor_aliases","unit_type","surface","actor","route","related_operations","related_journeys","primary_cta","states","donor_trace"
"SCR_1","arb_amendment_create","ArbAmendmentCreate","component_screen","app-client","client","/arb/amendment/create","arb_amendment_create","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_amendment_create/OP_SCREENS_MAP.csv"
"SCR_2","arb_booking_accept_screen","","component_screen","app-partner","partner","/partner/arb/booking/accept/screen","arb_booking_accept","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_accept/OP_SCREENS_MAP.csv"
"SCR_3","arb_booking_activate_screen","","component_screen","app-partner","partner","/partner/arb/booking/activate/screen","arb_booking_activate","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_activate/OP_SCREENS_MAP.csv"
"SCR_4","arb_booking_approve_screen","","component_screen","app-partner","partner","/partner/arb/booking/approve/screen","arb_booking_approve","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_approve/OP_SCREENS_MAP.csv"
"SCR_5","arb_booking_assign_screen","","component_screen","app-partner","partner","/partner/arb/booking/assign/screen","arb_booking_assign","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_assign/OP_SCREENS_MAP.csv"
"SCR_6","arb_booking_complete_screen","","component_screen","app-partner","partner","/partner/arb/booking/complete/screen","arb_booking_complete","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_complete/OP_SCREENS_MAP.csv"
"SCR_7","arb_booking_create","ArbBookingCreate","component_screen","app-client","client","/arb/booking/create","arb_booking_create","","execute_booking_create","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_create/OP_SCREENS_MAP.csv"
"SCR_8","arb_booking_rate_screen","","component_screen","app-partner","partner","/partner/arb/booking/rate/screen","arb_booking_rate","","execute_trip_rate","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_rate/OP_SCREENS_MAP.csv"
"SCR_9","arb_booking_status_update","ArbBookingStatusUpdate","component_screen","app-client","client","/arb/booking/status/update","arb_booking_update","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_update/OP_SCREENS_MAP.csv"
"SCR_10","arb_booking_verify_screen","","component_screen","app-partner","partner","/partner/arb/booking/verify/screen","arb_booking_verify","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_verify/OP_SCREENS_MAP.csv"
"SCR_11","arb_bookings_list","ArbBookingsList","component_screen","app-client","client","/arb/bookings/list","arb_booking_list","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_list/OP_SCREENS_MAP.csv"
"SCR_12","arb_partner_bookings_list","arb_partner_bookings_list","component_screen","app-partner","partner","/partner/arb/partner/bookings/list","arb_booking_list","","open_arb_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/operations/arb_booking_list/OP_SCREENS_MAP.csv"
"SCR_13","arb_control_quality_hub","CONTROL_PANEL_quality_HUB","route_page","control-panel","ops|finance|support","/operations/arb/quality","arb_booking_rate","","open_operations_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/ARB_CONTROL_PANEL_SECTION_MAP.csv"
"SCR_14","arb_control_analytics_hub","CONTROL_PANEL_analytics_HUB","route_page","control-panel","ops|finance|support","/operations/arb/analytics","","","open_operations_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/ARB_CONTROL_PANEL_SECTION_MAP.csv"
"SCR_15","arb_control_operations_hub","CONTROL_PANEL_operations_HUB","route_page","control-panel","ops|finance|support","/operations/arb/operations","arb_booking_accept|arb_booking_activate|arb_booking_approve|arb_booking_assign|arb_booking_complete|arb_booking_create|arb_booking_list|arb_booking_verify","","open_operations_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/ARB_CONTROL_PANEL_SECTION_MAP.csv"
"SCR_16","arb_control_security_hub","CONTROL_PANEL_security_HUB","route_page","control-panel","ops|finance|support","/operations/arb/security","","","open_operations_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/ARB_CONTROL_PANEL_SECTION_MAP.csv"
"SCR_17","arb_control_finance_hub","CONTROL_PANEL_finance_HUB","route_page","control-panel","ops|finance|support","/operations/arb/finance","arb_booking_complete","","open_operations_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/ARB_CONTROL_PANEL_SECTION_MAP.csv"
"SCR_18","arb_control_support_hub","CONTROL_PANEL_support_HUB","route_page","control-panel","ops|finance|support","/operations/arb/support","arb_amendment_create|arb_booking_list|arb_booking_update","","open_operations_workspace","loading|empty|error|success|offline|disabled","services/arb/governance/ARB_CONTROL_PANEL_SECTION_MAP.csv"

