"queue_order","wave_id","item_id","item_type","canonical_name","surface","owner_layer","target_repo_path","files_to_touch","depends_on","opens_next","ui_kit_prereq","contract_prereq","binding_prereq","runtime_prereq","acceptance_gate","status","blocked_by","notes"
"1","W02_CLIENT_TRIP_FLOW","SCR_1","screen","arb_amendment_create","app-client","packages/surfaces","packages/surfaces/src/arb/arb_amendment_create","packages/surfaces/src/arb/arb_amendment_create.tsx|docs/services/arb/screens/arb_amendment_create.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"2","W02_CLIENT_TRIP_FLOW","SCR_7","screen","arb_booking_create","app-client","packages/surfaces","packages/surfaces/src/arb/arb_booking_create","packages/surfaces/src/arb/arb_booking_create.tsx|docs/services/arb/screens/arb_booking_create.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"3","W02_CLIENT_TRIP_FLOW","SCR_9","screen","arb_booking_status_update","app-client","packages/surfaces","packages/surfaces/src/arb/arb_booking_status_update","packages/surfaces/src/arb/arb_booking_status_update.tsx|docs/services/arb/screens/arb_booking_status_update.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"4","W02_CLIENT_TRIP_FLOW","SCR_11","screen","arb_bookings_list","app-client","packages/surfaces","packages/surfaces/src/arb/arb_bookings_list","packages/surfaces/src/arb/arb_bookings_list.tsx|docs/services/arb/screens/arb_bookings_list.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"5","W03_CONTROL_PANEL_CORE","SCR_14","screen","arb_control_analytics_hub","control-panel","packages/surfaces","packages/surfaces/src/arb/arb_control_analytics_hub","packages/surfaces/src/arb/arb_control_analytics_hub.tsx|docs/services/arb/screens/arb_control_analytics_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"6","W03_CONTROL_PANEL_CORE","SCR_17","screen","arb_control_finance_hub","control-panel","packages/surfaces","packages/surfaces/src/arb/arb_control_finance_hub","packages/surfaces/src/arb/arb_control_finance_hub.tsx|docs/services/arb/screens/arb_control_finance_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"7","W03_CONTROL_PANEL_CORE","SCR_15","screen","arb_control_operations_hub","control-panel","packages/surfaces","packages/surfaces/src/arb/arb_control_operations_hub","packages/surfaces/src/arb/arb_control_operations_hub.tsx|docs/services/arb/screens/arb_control_operations_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"8","W03_CONTROL_PANEL_CORE","SCR_13","screen","arb_control_quality_hub","control-panel","packages/surfaces","packages/surfaces/src/arb/arb_control_quality_hub","packages/surfaces/src/arb/arb_control_quality_hub.tsx|docs/services/arb/screens/arb_control_quality_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"9","W03_CONTROL_PANEL_CORE","SCR_16","screen","arb_control_security_hub","control-panel","packages/surfaces","packages/surfaces/src/arb/arb_control_security_hub","packages/surfaces/src/arb/arb_control_security_hub.tsx|docs/services/arb/screens/arb_control_security_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"10","W03_CONTROL_PANEL_CORE","SCR_18","screen","arb_control_support_hub","control-panel","packages/surfaces","packages/surfaces/src/arb/arb_control_support_hub","packages/surfaces/src/arb/arb_control_support_hub.tsx|docs/services/arb/screens/arb_control_support_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
