"screen_id","canonical_name","surface","canonical_route","target_app_shell","nav_owner","status"
"SCR_1","arb_amendment_create","app-client","/arb/amendment/create","apps/mobile/app-client","packages/surfaces","ready"
"SCR_2","arb_booking_accept_screen","app-partner","/partner/arb/booking/accept/screen","apps/mobile/app-partner","packages/surfaces","ready"
"SCR_3","arb_booking_activate_screen","app-partner","/partner/arb/booking/activate/screen","apps/mobile/app-partner","packages/surfaces","ready"
"SCR_4","arb_booking_approve_screen","app-partner","/partner/arb/booking/approve/screen","apps/mobile/app-partner","packages/surfaces","ready"
"SCR_5","arb_booking_assign_screen","app-partner","/partner/arb/booking/assign/screen","apps/mobile/app-partner","packages/surfaces","ready"
"SCR_6","arb_booking_complete_screen","app-partner","/partner/arb/booking/complete/screen","apps/mobile/app-partner","packages/surfaces","ready"
"SCR_7","arb_booking_create","app-client","/arb/booking/create","apps/mobile/app-client","packages/surfaces","ready"
"SCR_8","arb_booking_rate_screen","app-partner","/partner/arb/booking/rate/screen","apps/mobile/app-partner","packages/surfaces","ready"
"SCR_9","arb_booking_status_update","app-client","/arb/booking/status/update","apps/mobile/app-client","packages/surfaces","ready"
"SCR_10","arb_booking_verify_screen","app-partner","/partner/arb/booking/verify/screen","apps/mobile/app-partner","packages/surfaces","ready"
"SCR_11","arb_bookings_list","app-client","/arb/bookings/list","apps/mobile/app-client","packages/surfaces","ready"
"SCR_12","arb_partner_bookings_list","app-partner","/partner/arb/partner/bookings/list","apps/mobile/app-partner","packages/surfaces","ready"
"SCR_13","arb_control_quality_hub","control-panel","/operations/arb/quality","apps/web/control-panel","packages/surfaces","ready"
"SCR_14","arb_control_analytics_hub","control-panel","/operations/arb/analytics","apps/web/control-panel","packages/surfaces","ready"
"SCR_15","arb_control_operations_hub","control-panel","/operations/arb/operations","apps/web/control-panel","packages/surfaces","ready"
"SCR_16","arb_control_security_hub","control-panel","/operations/arb/security","apps/web/control-panel","packages/surfaces","ready"
"SCR_17","arb_control_finance_hub","control-panel","/operations/arb/finance","apps/web/control-panel","packages/surfaces","ready"
"SCR_18","arb_control_support_hub","control-panel","/operations/arb/support","apps/web/control-panel","packages/surfaces","ready"
