"screen_id","viewmodel_id","hook_or_controller_name","target_package_or_app","api_client_needed","read_models","write_actions","error_normalization_required","status"
"SCR_1","vm_arb_amendment_create","use_arb_amendment_create","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_2","vm_arb_booking_accept_screen","use_arb_booking_accept_screen","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_3","vm_arb_booking_activate_screen","use_arb_booking_activate_screen","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_4","vm_arb_booking_approve_screen","use_arb_booking_approve_screen","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_5","vm_arb_booking_assign_screen","use_arb_booking_assign_screen","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_6","vm_arb_booking_complete_screen","use_arb_booking_complete_screen","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_7","vm_arb_booking_create","use_arb_booking_create","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_8","vm_arb_booking_rate_screen","use_arb_booking_rate_screen","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_9","vm_arb_booking_status_update","use_arb_booking_status_update","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_10","vm_arb_booking_verify_screen","use_arb_booking_verify_screen","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_11","vm_arb_bookings_list","use_arb_bookings_list","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_12","vm_arb_partner_bookings_list","use_arb_partner_bookings_list","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_13","vm_arb_control_quality_hub","use_arb_control_quality_hub","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_14","vm_arb_control_analytics_hub","use_arb_control_analytics_hub","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_15","vm_arb_control_operations_hub","use_arb_control_operations_hub","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_16","vm_arb_control_security_hub","use_arb_control_security_hub","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_17","vm_arb_control_finance_hub","use_arb_control_finance_hub","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
"SCR_18","vm_arb_control_support_hub","use_arb_control_support_hub","packages/surfaces","yes","booking|partner|pricing","cta_mutations","yes","ready"
