"operation_id","service_method_name","target_service_path","input_shape","output_shape","policy_notes","audit_trace_required","idempotency_required","runtime_truth_class","status"
"arb_amendment_create","execute_arb_amendment_create","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_accept","execute_arb_booking_accept","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_activate","execute_arb_booking_activate","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_approve","execute_arb_booking_approve","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_assign","execute_arb_booking_assign","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_complete","execute_arb_booking_complete","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_create","execute_arb_booking_create","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_list","execute_arb_booking_list","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","no","service_runtime","ready"
"arb_booking_rate","execute_arb_booking_rate","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_update","execute_arb_booking_update","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
"arb_booking_verify","execute_arb_booking_verify","services/arb/src","contract_input","contract_output","rbac_abac_applies","yes","yes","service_runtime","ready"
