"screen_id","loading_state","empty_state","filtered_empty_state","disabled_state","offline_state","validation_error_state","upstream_failure_state","retry_state","stale_state","partial_state","success_state","notes"
"SCR_1","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_2","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_3","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_4","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_5","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_6","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_7","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_8","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_9","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_10","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_11","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_12","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_13","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_14","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_15","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_16","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_17","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
"SCR_18","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with ui-kit"
