"screen_id","canonical_name","surface","actor","group_name","mapped_wave","related_operations"
"SCR_1","arb_amendment_create","app-client","client","client_trip_flow","W02_CLIENT_TRIP_FLOW","arb_amendment_create"
"SCR_2","arb_booking_accept_screen","app-partner","partner","partner_trip_ops","W04_SUPPORT_AND_MODERATION","arb_booking_accept"
"SCR_3","arb_booking_activate_screen","app-partner","partner","partner_trip_ops","W04_SUPPORT_AND_MODERATION","arb_booking_activate"
"SCR_4","arb_booking_approve_screen","app-partner","partner","partner_trip_ops","W04_SUPPORT_AND_MODERATION","arb_booking_approve"
"SCR_5","arb_booking_assign_screen","app-partner","partner","partner_trip_ops","W04_SUPPORT_AND_MODERATION","arb_booking_assign"
"SCR_6","arb_booking_complete_screen","app-partner","partner","partner_trip_ops","W04_SUPPORT_AND_MODERATION","arb_booking_complete"
"SCR_7","arb_booking_create","app-client","client","client_trip_flow","W02_CLIENT_TRIP_FLOW","arb_booking_create"
"SCR_8","arb_booking_rate_screen","app-partner","partner","partner_trip_ops","W04_SUPPORT_AND_MODERATION","arb_booking_rate"
"SCR_9","arb_booking_status_update","app-client","client","client_trip_flow","W02_CLIENT_TRIP_FLOW","arb_booking_update"
"SCR_10","arb_booking_verify_screen","app-partner","partner","partner_trip_ops","W04_SUPPORT_AND_MODERATION","arb_booking_verify"
"SCR_11","arb_bookings_list","app-client","client","client_trip_flow","W02_CLIENT_TRIP_FLOW","arb_booking_list"
"SCR_12","arb_partner_bookings_list","app-partner","partner","partner_trip_ops","W04_SUPPORT_AND_MODERATION","arb_booking_list"
"SCR_13","arb_control_quality_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","arb_booking_rate"
"SCR_14","arb_control_analytics_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE",""
"SCR_15","arb_control_operations_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","arb_booking_accept|arb_booking_activate|arb_booking_approve|arb_booking_assign|arb_booking_complete|arb_booking_create|arb_booking_list|arb_booking_verify"
"SCR_16","arb_control_security_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE",""
"SCR_17","arb_control_finance_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","arb_booking_complete"
"SCR_18","arb_control_support_hub","control-panel","ops|finance|support","control_trip_ops","W03_CONTROL_PANEL_CORE","arb_amendment_create|arb_booking_list|arb_booking_update"
