"operation_id","operation_type","owner","chain","surfaces","source_trace"
"arb_amendment_create","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-client","services/arb/governance/operations/arb_amendment_create/OP_SPEC.yaml"
"arb_booking_accept","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-partner","services/arb/governance/operations/arb_booking_accept/OP_SPEC.yaml"
"arb_booking_activate","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-partner","services/arb/governance/operations/arb_booking_activate/OP_SPEC.yaml"
"arb_booking_approve","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-partner","services/arb/governance/operations/arb_booking_approve/OP_SPEC.yaml"
"arb_booking_assign","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-partner","services/arb/governance/operations/arb_booking_assign/OP_SPEC.yaml"
"arb_booking_complete","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-partner","services/arb/governance/operations/arb_booking_complete/OP_SPEC.yaml"
"arb_booking_create","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-client","services/arb/governance/operations/arb_booking_create/OP_SPEC.yaml"
"arb_booking_list","READ","services/arb","surface->viewmodel->api_client->service_method->contract","app-client|app-partner","services/arb/governance/operations/arb_booking_list/OP_SPEC.yaml"
"arb_booking_rate","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-client|app-partner","services/arb/governance/operations/arb_booking_rate/OP_SPEC.yaml"
"arb_booking_update","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-client","services/arb/governance/operations/arb_booking_update/OP_SPEC.yaml"
"arb_booking_verify","MUTATION","services/arb","surface->viewmodel->api_client->service_method->contract","app-partner","services/arb/governance/operations/arb_booking_verify/OP_SPEC.yaml"
