"Operation","Source","Files","Surfaces"
".dsh_92_ops","services","1","unknown"
"api-client-factory","api-clients","2","unknown"
"arrival_bell","services","10","unknown"
"ArrivalBellCaptainBlock","surfaces","1","unknown"
"ArrivalBellCustomerBlock","surfaces","1","unknown"
"auto_captain_earnings_history","surfaces","1","app-captain"
"auto_captain_financial_reports","surfaces","1","app-captain"
"auto_captain_payments","surfaces","1","app-captain"
"auto_captain_settlements","surfaces","1","app-captain"
"auto_captain_wallet","surfaces","1","app-captain"
"auto_dsh_awnak_order_create","surfaces","1","unknown"
"auto_dsh_booking_create","surfaces","1","unknown"
"auto_dsh_captain_chat_read_ack","surfaces","1","app-captain"
"auto_dsh_captain_chat_send","surfaces","1","app-captain"
"auto_dsh_captain_cod_balance","surfaces","1","app-captain"
"auto_dsh_captain_job_reject","surfaces","1","app-captain"
"auto_dsh_captain_order_accept","surfaces","1","app-captain"
"auto_dsh_captain_order_deliver","surfaces","1","app-captain"
"auto_dsh_captain_order_details","surfaces","1","app-captain"
"auto_dsh_captain_order_get","surfaces","1","app-captain"
"auto_dsh_captain_order_pickup","surfaces","1","app-captain"
"auto_dsh_captain_orders_list","surfaces","1","app-captain"
"auto_dsh_captain_orders_offers_list","surfaces","1","app-captain"
"auto_dsh_captain_profile_get","surfaces","1","app-captain"
"auto_dsh_captain_proof_upload","surfaces","1","app-captain"
"auto_dsh_captain_tier_evaluate","surfaces","1","app-captain"
"auto_dsh_captain_tier_info","surfaces","1","app-captain"
"auto_dsh_cart_get","surfaces","1","unknown"
"auto_dsh_cart_init","surfaces","1","unknown"
"auto_dsh_cart_item_add","surfaces","1","unknown"
"auto_dsh_cart_item_remove","surfaces","1","unknown"
"auto_dsh_cart_item_update","surfaces","1","unknown"
"auto_dsh_categories_list","surfaces","1","unknown"
"auto_dsh_category_get","surfaces","1","unknown"
"auto_dsh_chat_read_ack","surfaces","1","unknown"
"auto_dsh_chat_send","surfaces","1","unknown"
"auto_dsh_checkout_gate","surfaces","1","unknown"
"auto_dsh_delivery_attempt_create","surfaces","1","unknown"
"auto_dsh_delivery_attempts_list","surfaces","1","unknown"
"auto_dsh_delivery_close","surfaces","1","unknown"
"auto_dsh_delivery_eta_get","surfaces","1","unknown"
"auto_dsh_delivery_get","surfaces","1","unknown"
"auto_dsh_delivery_reassign","surfaces","1","unknown"
"auto_dsh_delivery_track_get","surfaces","1","unknown"
"auto_dsh_entitlements_get","surfaces","1","unknown"
"auto_dsh_estimate_create","surfaces","1","unknown"
"auto_dsh_estimate_get","surfaces","1","unknown"
"auto_dsh_external_order_create","surfaces","1","unknown"
"auto_dsh_favorite_toggle","surfaces","1","unknown"
"auto_dsh_favorites_list","surfaces","1","unknown"
