"Surface","ScreenName","UiNodeType","RelativePath","FileName","Extension","OperationCount","Operations","HasUiKitRef","HasLegacyPreview","Decision"
"app-captain","index","component","packages\surfaces\src\dsh\app-captain\mobile\index.ts","index.ts",".ts","0","","False","False","REFERENCE_ONLY"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","auto_captain_earnings_history.tsx",".tsx","8","dsh_earnings_empty; dsh_earnings_loading; dsh_earnings_subtitle; dsh_earnings_title; dsh_period_daily; dsh_period_monthly; dsh_period_weekly; dsh_period_yearly","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_financial_reports.tsx","auto_captain_financial_reports.tsx",".tsx","4","dsh_period_monthly; dsh_period_quarterly; dsh_period_yearly; dsh_report_empty","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_payments.tsx","auto_captain_payments.tsx",".tsx","7","dsh_filter_completed; dsh_payments_empty; dsh_status_completed; dsh_status_failed; dsh_status_pending; dsh_status_unspecified; dsh_wallet_loading","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","auto_captain_settlements.tsx",".tsx","17","dsh_bank_account_label; dsh_enter_amount; dsh_enter_valid_amount; dsh_loading_settlements; dsh_min_50; dsh_min_withdrawal; dsh_new_withdrawal; dsh_select_bank_account; dsh_status_completed; dsh_status_pending; dsh_status_processing; dsh_status_rejected; dsh_status_unspecified; dsh_success_title; dsh_withdrawal_amount_label; dsh_withdrawal_failed; dsh_withdrawal_success","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_wallet.tsx","auto_captain_wallet.tsx",".tsx","5","dsh_captain_delivery; dsh_captain_ride; dsh_wallet_empty; dsh_wallet_loading; dsh_wallet_subtitle","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_chat_read_ack.tsx","auto_dsh_captain_chat_read_ack.tsx",".tsx","2","dsh_captain_chat_read_ack; dsh_captain_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_chat_send.tsx","auto_dsh_captain_chat_send.tsx",".tsx","2","dsh_captain_chat_send; dsh_captain_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_cod_balance.tsx","auto_dsh_captain_cod_balance.tsx",".tsx","1","dsh_captain_cod_balance","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_job_reject.tsx","auto_dsh_captain_job_reject.tsx",".tsx","2","dsh_captain_job_reject; dsh_captain_jobs","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_accept.tsx","auto_dsh_captain_order_accept.tsx",".tsx","5","dsh_captain_order_accept; dsh_captain_order_pickup; dsh_captain_orders; dsh_captain_orders_list; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_deliver.tsx","auto_dsh_captain_order_deliver.tsx",".tsx","4","dsh_captain_order_deliver; dsh_captain_orders; dsh_captain_orders_list; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_details.tsx","auto_dsh_captain_order_details.tsx",".tsx","5","dsh_captain_order_deliver; dsh_captain_order_details; dsh_captain_order_pickup; dsh_captain_orders; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_get.tsx","auto_dsh_captain_order_get.tsx",".tsx","4","dsh_captain_order_get; dsh_captain_order_pickup; dsh_orders; dsh_smart_notifications_captain_near_spec","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_pickup.tsx","auto_dsh_captain_order_pickup.tsx",".tsx","3","dsh_captain_order_deliver; dsh_captain_order_pickup; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_orders_list.tsx","auto_dsh_captain_orders_list.tsx",".tsx","5","dsh_captain_order_accept; dsh_captain_order_details; dsh_captain_orders; dsh_captain_orders_list; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_orders_offers_list.tsx","auto_dsh_captain_orders_offers_list.tsx",".tsx","3","dsh_captain_order_accept; dsh_captain_orders_offers; dsh_captain_orders_offers_list","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_profile_get.tsx","auto_dsh_captain_profile_get.tsx",".tsx","2","dsh_captain_profile; dsh_captain_profile_get","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_proof_upload.tsx","auto_dsh_captain_proof_upload.tsx",".tsx","2","dsh_captain_jobs; dsh_captain_proof_upload","True","False","KEEP_REBUILD_CLEAN"
