"Operation","Surface","ScreenName","UiNodeType","RelativePath","Decision"
"dsh_arrival_bell_spec","unknown","StyleSheet","component","packages\surfaces\src\dsh\components\ArrivalBellCaptainBlock.tsx","MODIFY_MAJOR"
"dsh_arrival_bell_spec","unknown","StyleSheet","component","packages\surfaces\src\dsh\components\ArrivalBellCustomerBlock.tsx","MODIFY_MAJOR"
"dsh_auction_status_update","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_auction_status_update.tsx","KEEP_REBUILD_CLEAN"
"dsh_auctions","app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_auction_status_update.tsx","KEEP_REBUILD_CLEAN"
"dsh_awnak_order_create","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_awnak_order_create.tsx","KEEP_REBUILD_CLEAN"
"dsh_bank_account_label","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_banner_","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_home_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_banner_002","unknown","README","component","packages\surfaces\src\dsh\app-client\mobile\assets\banners\README.md","MODIFY_MAJOR"
"dsh_banner_002","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_home_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_banners","unknown","StyleSheet","component","packages\surfaces\src\dsh\DshBannersList.tsx","MODIFY_MAJOR"
"dsh_banners_to_media","unknown","README","component","packages\surfaces\src\dsh\app-client\mobile\assets\banners\README.md","MODIFY_MAJOR"
"dsh_bonus_daily","unknown","captainEarningsHistory","component","packages\surfaces\src\dsh\fixtures\captainEarningsHistory.ts","MODIFY_MAJOR"
"dsh_bonus_performance","unknown","captainEarningsHistory","component","packages\surfaces\src\dsh\fixtures\captainEarningsHistory.ts","MODIFY_MAJOR"
"dsh_bonus_performance","unknown","captainWallet","component","packages\surfaces\src\dsh\fixtures\captainWallet.ts","MODIFY_MAJOR"
"dsh_bonus_performance_january","unknown","captainPayments","component","packages\surfaces\src\dsh\fixtures\captainPayments.ts","MODIFY_MAJOR"
"dsh_booking_create","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_booking_create.tsx","KEEP_REBUILD_CLEAN"
"dsh_bookings","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_booking_create.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_chat_read_ack","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_chat_read_ack.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_chat_send","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_chat_send.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_cod_balance","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_cod_balance.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_delivery","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_wallet.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_job_reject","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_job_reject.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_jobs","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_proof_upload.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_jobs","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_job_reject.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_accept","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_orders_offers_list.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_accept","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_accept.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_accept","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_orders_list.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_accept","unknown","pattern_unification.test","component","packages\surfaces\src\dsh\__tests__\pattern_unification.test.ts","MODIFY_MAJOR"
"dsh_captain_order_accept","unknown","wrappers","component","packages\surfaces\src\dsh\wrappers.ts","MODIFY_MAJOR"
"dsh_captain_order_deliver","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_deliver.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_deliver","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_details.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_deliver","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_pickup.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_deliver","unknown","pattern_unification.test","component","packages\surfaces\src\dsh\__tests__\pattern_unification.test.ts","MODIFY_MAJOR"
"dsh_captain_order_deliver","unknown","wrappers","component","packages\surfaces\src\dsh\wrappers.ts","MODIFY_MAJOR"
"dsh_captain_order_details","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_details.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_details","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_orders_list.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_get","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_get","unknown","pattern_unification.test","component","packages\surfaces\src\dsh\__tests__\pattern_unification.test.ts","MODIFY_MAJOR"
"dsh_captain_order_get","unknown","wrappers","component","packages\surfaces\src\dsh\wrappers.ts","MODIFY_MAJOR"
"dsh_captain_order_pickup","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_pickup.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_pickup","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_details.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_pickup","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_accept.tsx","KEEP_REBUILD_CLEAN"
"dsh_captain_order_pickup","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_get.tsx","KEEP_REBUILD_CLEAN"
