"Surface","ScreenName","UiNodeType","RelativePath","OperationCount","Operations","HasUiKitRef","HasLegacyPreview","Decision"
"app-partner","StyleSheet","modal","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_manager_invite.tsx","1","dsh_partner_manager_invite","True","False","CONVERT_TO_COMPANION_NODE"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_proof_upload.tsx","2","dsh_captain_jobs; dsh_captain_proof_upload","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_payments.tsx","7","dsh_filter_completed; dsh_payments_empty; dsh_status_completed; dsh_status_failed; dsh_status_pending; dsh_status_unspecified; dsh_wallet_loading","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_financial_reports.tsx","4","dsh_period_monthly; dsh_period_quarterly; dsh_period_yearly; dsh_report_empty","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","8","dsh_earnings_empty; dsh_earnings_loading; dsh_earnings_subtitle; dsh_earnings_title; dsh_period_daily; dsh_period_monthly; dsh_period_weekly; dsh_period_yearly","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_chat_read_ack.tsx","2","dsh_captain_chat_read_ack; dsh_captain_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_chat_send.tsx","2","dsh_captain_chat_send; dsh_captain_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_cod_balance.tsx","1","dsh_captain_cod_balance","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_job_reject.tsx","2","dsh_captain_job_reject; dsh_captain_jobs","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_accept.tsx","5","dsh_captain_order_accept; dsh_captain_order_pickup; dsh_captain_orders; dsh_captain_orders_list; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_deliver.tsx","4","dsh_captain_order_deliver; dsh_captain_orders; dsh_captain_orders_list; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_details.tsx","5","dsh_captain_order_deliver; dsh_captain_order_details; dsh_captain_order_pickup; dsh_captain_orders; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_get.tsx","4","dsh_captain_order_get; dsh_captain_order_pickup; dsh_orders; dsh_smart_notifications_captain_near_spec","True","False","KEEP_REBUILD_CLEAN"
