"Operation","Classification","Reason","SurfacesFound"
".dsh_92_ops","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"api-client-factory","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"arrival_bell","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"ArrivalBellCaptainBlock","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"ArrivalBellCustomerBlock","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_captain_earnings_history","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_captain_financial_reports","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_captain_payments","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_captain_settlements","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_captain_wallet","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_awnak_order_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_booking_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_chat_read_ack","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_chat_send","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_cod_balance","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_job_reject","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_order_accept","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_order_deliver","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_order_details","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_order_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_order_pickup","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_orders_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_orders_offers_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_profile_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_proof_upload","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_tier_evaluate","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_captain_tier_info","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_cart_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_cart_init","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_cart_item_add","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_cart_item_remove","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_cart_item_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_categories_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_category_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_chat_read_ack","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_chat_send","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_checkout_gate","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_delivery_attempt_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_delivery_attempts_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_delivery_close","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_delivery_eta_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_delivery_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_delivery_reassign","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_delivery_track_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_entitlements_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_estimate_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_estimate_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_external_order_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_favorite_toggle","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_favorites_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_field_store_activation_request","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_field_store_geo_pin","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_field_store_visit_log","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_gas_refill_order_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_home_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_listing_status_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_loyalty_points_redeem","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_loyalty_points_user_balance","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_loyalty_points_user_history","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_accept","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_cancel","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_complete","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_escrow_hold","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_escrow_release","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_issue_flag","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_proof_code_generate","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_proof_verify","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_rate","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_receipt_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_status_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_order_status_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_orders_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_auction_status_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_audience_insights_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_chat_read_ack","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_chat_send","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_commission_by_mode_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_delivery_ops_board","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_delivery_zones_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_doc_upload","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_hours_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_identity_submit","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_intake_start","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_inventory_adjust","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_inventory_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_items_upsert","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_listing_status_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_manager_invite","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_order_accept","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_order_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
