"ItemType","ScreenName","Operation","CurrentSurface","ProposedSurface","CurrentDecision","ProposedAction","RelativePath","Evidence"
"orphan-screen","useCaptainEarningsHistory","","unknown","app-captain","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\hooks\useCaptainEarningsHistory.ts","path-alias-captain; uikit-ref"
"orphan-screen","useCaptainFinancialReports","","unknown","app-captain","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\hooks\useCaptainFinancialReports.ts","path-alias-captain; uikit-ref"
"orphan-screen","useCaptainOrderDetails","","unknown","app-captain","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\hooks\useCaptainOrderDetails.ts","path-alias-captain; uikit-ref"
"orphan-screen","useCaptainPayments","","unknown","app-captain","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\hooks\useCaptainPayments.ts","path-alias-captain; uikit-ref"
"orphan-screen","useCaptainSettlements","","unknown","app-captain","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\hooks\useCaptainSettlements.ts","path-alias-captain; uikit-ref"
"orphan-screen","useCaptainTierInfo","","unknown","app-captain","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\hooks\useCaptainTierInfo.ts","path-alias-captain; uikit-ref"
"orphan-screen","useCaptainWallet","","unknown","app-captain","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\hooks\useCaptainWallet.ts","path-alias-captain; uikit-ref"
"orphan-screen","StyleSheet","","unknown","app-client","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_proxy_request_approve.tsx","path-alias-client; uikit-ref"
"orphan-screen","StyleSheet","","unknown","app-client","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_proxy_request_review.tsx","path-alias-client; uikit-ref"
"orphan-screen","StyleSheet","","unknown","app-client","REVIEW_ORPHAN_SCREEN","RECLASSIFY_SURFACE_AND_REVIEW","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_proxy_request_tracking.tsx","path-alias-client; uikit-ref"
