"operation_id","canonical_name","actors","surfaces","classification","trigger","state_effect","source_trace"
"arrival_bell","arrival_bell","captain|customer","app-captain|app-client|app-partner|control-panel","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/arrival_bell/OP_SPEC.yaml"
"dsh_auction_status_update","dsh_auction_status_update","partner","app-partner","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_auction_status_update/OP_SPEC.yaml"
"dsh_booking_create","dsh_booking_create","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_booking_create/OP_SPEC.yaml"
"dsh_captain_chat_read_ack","dsh_captain_chat_read_ack","ops","app-captain","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_captain_chat_read_ack/OP_SPEC.yaml"
"dsh_captain_chat_send","dsh_captain_chat_send","ops","app-captain","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_captain_chat_send/OP_SPEC.yaml"
"dsh_captain_cod_balance","dsh_captain_cod_balance","ops","app-captain","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_captain_cod_balance/OP_SPEC.yaml"
"dsh_captain_job_reject","dsh_captain_job_reject","ops","app-captain","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_captain_job_reject/OP_SPEC.yaml"
"dsh_captain_proof_upload","dsh_captain_proof_upload","ops","app-captain","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_captain_proof_upload/OP_SPEC.yaml"
"dsh_captain_tier_evaluate","dsh_captain_tier_evaluate","ops","app-captain","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_captain_tier_evaluate/OP_SPEC.yaml"
"dsh_captain_tier_info","dsh_captain_tier_info","ops","app-captain","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_captain_tier_info/OP_SPEC.yaml"
