"Operation","ExpectedSurface","Classification","Sources","Reason"
"arrival_bell","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"browserslist","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_APP_CLIENT_BACKLOG","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_COVERAGE_MATRIX","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_MCPW_SECTION_MAP","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_OPERATION_CATALOG","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh_proxy_request_approve","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh_proxy_request_create","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh_proxy_request_offer","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh_proxy_request_reject","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh_proxy_request_schedule","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_RBAC_MATRIX","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_RUNTIME_VARS","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_SEAL_STATUS","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_SERVICE_SCOPE","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_SERVICE_SEAL_STATUS","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh_subscription_bundles_list","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_SURFACES_PARITY_BACKLOG","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_TRACEABILITY","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_TRACEABILITY_MATRIX","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_UNIFIED_OPERATIONS_REFERENCE","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"DSH_UX_FLOW","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh-shein.service","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh.controller","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh.module","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"dsh.service.test","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"index","unknown","BACKEND_OR_STAFF_REVIEW","api-clients; services; surfaces","service-truth-present; contract-truth-present; surface-truth-present"
"jest","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"jest.config","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"package","unknown","BACKEND_OR_STAFF_REVIEW","api-clients; services","service-truth-present; contract-truth-present"
"project","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"setup","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"shein-proxy-request.entity","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"ts-jest","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"tsc","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"tsconfig","unknown","BACKEND_OR_STAFF_REVIEW","api-clients; services","service-truth-present; contract-truth-present"
"tsconfig.spec","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"tsserver","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"typeorm","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"typeorm-ts-node-commonjs","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"typeorm-ts-node-esm","unknown","BACKEND_OR_STAFF_REVIEW","services","service-truth-present"
"ArrivalBellCaptainBlock","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_captain_earnings_history","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_captain_financial_reports","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_captain_payments","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_captain_settlements","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_captain_wallet","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_chat_read_ack","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_chat_send","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_cod_balance","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_job_reject","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_order_accept","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_order_deliver","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_order_details","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_order_get","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_order_pickup","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_orders_list","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_orders_offers_list","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_profile_get","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_proof_upload","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_tier_evaluate","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_captain_tier_info","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_delivery_attempt_create","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_delivery_attempts_list","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_delivery_eta_get","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
"auto_dsh_delivery_reassign","app-captain","BACKLOG_REVIEW","surfaces","surface-truth-present; expected-surface:app-captain"
