"QueueType","Surface","Operation","CandidateName","Readiness","WhyReady","RecommendedAction"
"keep-rebuild-clean","app-captain","dsh_earnings_empty","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_tier_evaluate","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_tier_evaluate","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_jobs","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_profile","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_order_accept","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_order_deliver","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_order_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_order_deliver","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_order_deliver","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_order_accept","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_job_reject","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_order_accept","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_filter_completed","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_bank_account_label","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_delivery","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_period_monthly","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_chat_send","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
