"QueueType","CandidateName","Operation","OriginalSurface","NormalizedSurface","NormalizationStatus","RecommendedAction","Readiness","WhyReady","PrimaryRelativePath","Evidence"
"keep-rebuild-clean","DshOrdersCreateScreen","dsh_orders_create","unknown","unknown","NEEDS_MANUAL_DECISION","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\mobile\dsh\DshOrdersCreateScreen.tsx","manual-decision-required"
"keep-rebuild-clean","StyleSheet","dsh_earnings_empty","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_chat_read_ack","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_chat_send","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_period_monthly","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_delivery","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_bank_account_label","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_filter_completed","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_order_accept","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_job_reject","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_cod_balance","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_order_deliver","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_order_accept","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_tier_evaluate","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_jobs","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_profile","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_tier_evaluate","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_order_deliver","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_order_get","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_order_deliver","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_captain_order_accept","app-captain","app-captain","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","ready-surface:app-captain"
"keep-rebuild-clean","StyleSheet","dsh_chat_read_ack","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_category_get","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_categories_list","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_cart_item_update","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_cart_item_remove","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_cart_item_add","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_cart_init","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_loyalty_points_user","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_booking_create","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_awnak_order_create","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_delivery_get","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_order_accept","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_order_cancel","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_chat_send","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_cart","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_checkout_gate","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_external_order_create","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_delivery_attempts_list","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_loyalty_points_redeem","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_listing_status_update","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_banner_","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_gas_refill_order_create","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_favorites_list","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_favorite_toggle","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_subscription_sync","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_estimate_get","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_estimate_create","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_entitlements","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_deliveries","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_deliveries","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"keep-rebuild-clean","StyleSheet","dsh_subscription_upgrade_post","unknown","app-client","NORMALIZED","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
