candidate_id,candidate_label,surface,journey_coverage,item_kind,decision,canonical_target,primary_operation_keys,entry_trigger,exit_trigger,source_status,source_trace,notes
dsh_client_entry_discovery_home,Client Entry And Discovery Home,app-client,"happy_path|fast_path",screen,Keep,dsh_client_entry_discovery_home,dsh_store_discovery,entry,category_or_store_detail_or_cart,observed,"PRIMARY_FLOW_MAP; auto_dsh_home_get.tsx; auto_dsh_categories_list.tsx; auto_dsh_stores_list.tsx",single lawful customer entry family
dsh_client_category_or_store_detail,Client Category Or Store Detail,app-client,"happy_path|fast_path",screen,Keep,dsh_client_category_or_store_detail,dsh_store_discovery,entry_discovery_home,cart_review,observed,"auto_dsh_category_get.tsx; auto_dsh_store_get.tsx; auto_dsh_store_items_list.tsx; DshCategoryDetail.tsx",detail family retained before cart
dsh_client_discovery_split_variants,Client Discovery Split Variants,app-client,"happy_path|fast_path",screen,Merge,dsh_client_entry_discovery_home|dsh_client_category_or_store_detail,dsh_store_discovery,none,merged_into_canonical,observed,"DshCategoriesList.tsx; auto_dsh_home_get.tsx; auto_dsh_categories_list.tsx; auto_dsh_category_get.tsx; auto_dsh_stores_list.tsx; auto_dsh_store_get.tsx; auto_dsh_store_items_list.tsx",donor discovery sprawl folded into two canonical client screens
dsh_client_cart_review,Client Cart Review,app-client,"happy_path|fast_path|checkout_block",screen,Keep,dsh_client_cart_review,dsh_cart_checkout_gate,category_or_store_detail,checkout_confirm_or_block,observed,"auto_dsh_cart_init.tsx; auto_dsh_cart_get.tsx; auto_dsh_cart_item_add.tsx; auto_dsh_cart_item_update.tsx; auto_dsh_cart_item_remove.tsx",single cart workspace
dsh_client_checkout_confirm,Client Checkout Confirm,app-client,"happy_path|fast_path|checkout_block",screen,Keep,dsh_client_checkout_confirm,dsh_cart_checkout_gate,cart_review,order_submit_or_block,observed,"auto_dsh_checkout_gate.tsx; DshCheckoutPaymentMethodSelect.tsx; auto_dsh_pricing_preview.tsx",review and confirm family
dsh_client_active_order_tracking,Client Active Order Tracking,app-client,"happy_path|fast_path|returning_user_tracking|terminal_cancelled",screen,Keep,dsh_client_active_order_tracking,dsh_customer_order_tracking,order_submit_or_completion,exit,observed,"PRIMARY_FLOW_MAP; FAILURE_RECOVERY_FLOW_MAP; auto_dsh_orders_list.tsx; auto_dsh_order_get.tsx; auto_dsh_order_status_get.tsx; auto_dsh_delivery_track_get.tsx",active and terminal tracking stays in one family
dsh_client_order_chat_companion,Client Order Chat Companion,app-client,"happy_path|fast_path|returning_user_tracking",sheet,Convert,dsh_client_active_order_tracking,dsh_customer_order_chat,active_order_tracking,active_order_tracking,observed,"auto_dsh_chat_send.tsx; auto_dsh_chat_read_ack.tsx",chat remains a companion not a primary screen
dsh_client_proxy_request_entry,Client Proxy Request Entry,app-client,proxy_exception,screen,Keep,dsh_client_proxy_request_entry,dsh_proxy_request_flow,entry,proxy_request_tracking_or_exit,observed,"FAILURE_RECOVERY_FLOW_MAP; auto_dsh_proxy_request_review.tsx; auto_dsh_shein_info.tsx",exception branch customer entry
dsh_client_proxy_request_tracking,Client Proxy Request Tracking,app-client,"proxy_exception|returning_user_tracking",screen,Keep,dsh_client_proxy_request_tracking,dsh_proxy_request_flow,proxy_request_entry,exit,observed,"auto_dsh_proxy_request_tracking.tsx",customer stays on a customer surface for proxy visibility
dsh_client_checkout_block_state,Client Checkout Block State,app-client,checkout_block,state,Convert,dsh_client_checkout_confirm,dsh_cart_checkout_gate,checkout_confirm,checkout_confirm_or_exit,observed,"FAILURE_RECOVERY_FLOW_MAP",blocking condition is a state not a separate screen
dsh_client_cancelled_terminal_state,Client Cancelled Terminal State,app-client,terminal_cancelled,state,Convert,dsh_client_active_order_tracking,dsh_customer_order_tracking,any_failure,exit,observed,"FAILURE_RECOVERY_FLOW_MAP",terminal cancellation remains inside tracking family
dsh_client_receipt_rating_cluster,Client Receipt And Rating Cluster,app-client,post_completion_optional,screen,Move to Legacy,legacy_or_future_scope,none,completed,exit,observed,"auto_dsh_order_receipt_get.tsx; auto_dsh_order_rate.tsx; auto_dsh_review_create.tsx; auto_dsh_reviews_list.tsx",not implied by current Phase 11 journey
dsh_client_loyalty_subscription_marketing_cluster,Client Loyalty Subscription Marketing Cluster,app-client,out_of_current_service,screen,Move to Legacy,legacy_or_future_scope,none,none,none,observed,"auto_dsh_loyalty_points_redeem.tsx; auto_dsh_loyalty_points_user_balance.tsx; auto_dsh_loyalty_points_user_history.tsx; auto_dsh_subscription_family_get.tsx; auto_dsh_subscription_family_members_get.tsx; auto_dsh_subscription_family_members_post.tsx; auto_dsh_subscription_sync.tsx; auto_dsh_subscription_tier_get.tsx; auto_dsh_subscription_upgrade_post.tsx; auto_dsh_favorites_list.tsx; auto_dsh_favorite_toggle.tsx; auto_dsh_promo_apply.tsx",donor extras outside current DSH first-service truth
dsh_client_profile_preferences_cluster,Client Profile And Preferences Cluster,app-client,out_of_current_service,screen,Move to Legacy,legacy_or_future_scope,none,none,none,observed,"DshCustomerProfileDetail.tsx; DshCustomerProfileUpdate.tsx; DshCustomerPreferencesDetail.tsx",not part of the current DSH journey lock
dsh_partner_orders_board,Partner Orders Board,app-partner,"happy_path|fast_path|partner_path",screen,Keep,dsh_partner_orders_board,dsh_partner_order_handling,entry,partner_order_workspace,observed,"STAFF_FLOW_MAP; auto_dsh_partner_orders_list.tsx; auto_dsh_partner_delivery_ops_board.tsx",canonical partner entry screen
dsh_partner_order_workspace,Partner Order Workspace,app-partner,"happy_path|fast_path|partner_path|partner_block",screen,Keep,dsh_partner_order_workspace,dsh_partner_order_handling,orders_board,handoff_or_issue,observed,"auto_dsh_partner_order_get.tsx; auto_dsh_partner_order_accept.tsx; auto_dsh_partner_order_prepare.tsx; auto_dsh_partner_order_ready.tsx; auto_dsh_partner_order_reject.tsx; auto_dsh_partner_order_store_delivered.tsx; auto_dsh_partner_order_handoff.tsx",single active partner handling family
dsh_partner_order_step_variants,Partner Order Step Variants,app-partner,"happy_path|partner_path|partner_block",screen,Merge,dsh_partner_order_workspace,dsh_partner_order_handling,none,merged_into_workspace,observed,"auto_dsh_partner_order_accept.tsx; auto_dsh_partner_order_prepare.tsx; auto_dsh_partner_order_ready.tsx; auto_dsh_partner_order_reject.tsx; auto_dsh_partner_order_store_delivered.tsx; auto_dsh_partner_order_handoff.tsx",donor step screens are folded into one partner workspace
dsh_partner_store_maintenance_workspace,Partner Store Maintenance Workspace,app-partner,"partner_path|partner_block",screen,Keep,dsh_partner_store_maintenance_workspace,dsh_partner_store_maintenance,orders_board_or_workspace,orders_board_or_workspace,observed,"auto_dsh_partner_store_get.tsx; auto_dsh_partner_store_update.tsx; auto_dsh_partner_store_status_update.tsx; auto_dsh_partner_store_service_modes_update.tsx; auto_dsh_partner_delivery_zones_update.tsx; auto_dsh_partner_inventory_adjust.tsx; auto_dsh_partner_inventory_update.tsx; auto_dsh_partner_items_upsert.tsx; auto_dsh_partner_zone_set.tsx",store readiness and configuration family
dsh_partner_order_issue_queue,Partner Order Issue Queue,app-partner,partner_block,screen,Internal,dsh_partner_order_issue_queue,dsh_partner_order_handling,partner_order_workspace,partner_order_workspace,observed,"auto_dsh_partner_order_issue_queue.tsx",internal exception queue only
dsh_partner_chat_companion,Partner Chat Companion,app-partner,"happy_path|partner_path",sheet,Convert,dsh_partner_order_workspace,dsh_customer_order_chat,partner_order_workspace,partner_order_workspace,observed,"auto_dsh_partner_chat_send.tsx; auto_dsh_partner_chat_read_ack.tsx; auto_dsh_partner_quick_reply_config_get.tsx; auto_dsh_partner_quick_reply_settings.tsx; auto_dsh_partner_quick_reply_setup.tsx",companion communication cluster not a primary screen
dsh_partner_handoff_action,Partner Handoff Action,app-partner,"happy_path|partner_path",inline_step,Convert,dsh_partner_order_workspace,dsh_partner_order_handling,partner_order_workspace,captain_flow,observed,"auto_dsh_partner_order_handoff.tsx",handoff is an in-screen action not a separate screen family
dsh_partner_subscription_analytics_cluster,Partner Subscription And Analytics Cluster,app-partner,out_of_current_service,screen,Move to Legacy,legacy_or_future_scope,none,none,none,observed,"auto_dsh_partner_subscription.tsx; auto_dsh_partner_audience_insights_get.tsx; auto_dsh_partner_staff_analytics_get.tsx",business management extras not in current DSH truth
dsh_partner_identity_staff_cluster,Partner Identity And Staff Cluster,app-partner,out_of_current_service,screen,Move to Legacy,legacy_or_future_scope,none,none,none,observed,"auto_dsh_partner_identity_submit.tsx; auto_dsh_partner_intake_start.tsx; auto_dsh_partner_manager_invite.tsx; auto_dsh_partner_doc_upload.tsx; auto_dsh_partner_store_nomination.tsx",partner admin onboarding extras outside current operational journey
dsh_captain_offers_list,Captain Offers List,app-captain,"happy_path|fast_path|captain_path|captain_block",screen,Keep,dsh_captain_offers_list,dsh_captain_offer_and_acceptance,entry,captain_execution_workspace,observed,"STAFF_FLOW_MAP; auto_dsh_captain_orders_offers_list.tsx; auto_dsh_captain_orders_list.tsx",captain entry family
dsh_captain_execution_workspace,Captain Execution Workspace,app-captain,"happy_path|fast_path|captain_path|captain_block",screen,Keep,dsh_captain_execution_workspace,dsh_captain_offer_and_acceptance|dsh_captain_delivery_execution,offers_list,proof_or_terminal,observed,"auto_dsh_captain_order_get.tsx; auto_dsh_captain_order_details.tsx; auto_dsh_captain_order_accept.tsx; auto_dsh_captain_order_pickup.tsx; auto_dsh_captain_order_deliver.tsx; auto_dsh_captain_job_reject.tsx",one execution workspace for captain actions
dsh_captain_order_step_variants,Captain Order Step Variants,app-captain,"happy_path|captain_path|captain_block",screen,Merge,dsh_captain_execution_workspace,dsh_captain_offer_and_acceptance|dsh_captain_delivery_execution,none,merged_into_workspace,observed,"auto_dsh_captain_order_accept.tsx; auto_dsh_captain_order_pickup.tsx; auto_dsh_captain_order_deliver.tsx; auto_dsh_captain_job_reject.tsx; auto_dsh_captain_order_details.tsx",donor step splits are folded into one captain workspace
dsh_captain_proof_capture,Captain Proof Capture,app-captain,"happy_path|captain_path",screen,Keep,dsh_captain_proof_capture,dsh_delivery_proof_and_verification,captain_execution_workspace,customer_tracking_or_exit,observed,"auto_dsh_captain_proof_upload.tsx",proof remains explicit because it is a completion gate
dsh_captain_chat_companion,Captain Chat Companion,app-captain,"happy_path|captain_path",sheet,Convert,dsh_captain_execution_workspace,dsh_customer_order_chat,captain_execution_workspace,captain_execution_workspace,observed,"auto_dsh_captain_chat_send.tsx; auto_dsh_captain_chat_read_ack.tsx",companion communication only
dsh_captain_reject_action,Captain Reject Action,app-captain,captain_block,inline_step,Convert,dsh_captain_execution_workspace,dsh_captain_offer_and_acceptance,offers_list_or_execution,reassignment_or_exit,observed,"auto_dsh_captain_job_reject.tsx",rejection stays in the captain workspace
dsh_captain_finance_and_tier_cluster,Captain Finance And Tier Cluster,app-captain,out_of_current_service,screen,Move to Legacy,legacy_or_future_scope,none,none,none,observed,"auto_dsh_captain_cod_balance.tsx; auto_dsh_captain_tier_info.tsx; auto_dsh_captain_tier_evaluate.tsx; auto_captain_wallet.tsx; auto_captain_payments.tsx; auto_captain_settlements.tsx; auto_captain_earnings_history.tsx; auto_captain_financial_reports.tsx",finance and tier extras are outside current DSH operational path
dsh_field_activation_workspace,Field Activation Workspace,app-field,"field_path|field_unavailable",screen,Keep,dsh_field_activation_workspace,dsh_field_activation_support,entry,geo_pin_or_visit_log_or_exit,observed,"STAFF_FLOW_MAP; auto_dsh_field_store_activation_request.tsx",optional service branch but mandatory inventory candidate
dsh_field_geo_pin_companion,Field Geo Pin Companion,app-field,field_path,sheet,Convert,dsh_field_activation_workspace,dsh_field_activation_support,field_activation_workspace,field_activation_workspace,observed,"auto_dsh_field_store_geo_pin.tsx",geo pin remains a companion task
dsh_field_visit_log_companion,Field Visit Log Companion,app-field,field_path,sheet,Convert,dsh_field_activation_workspace,dsh_field_activation_support,field_activation_workspace,field_activation_workspace,observed,"auto_dsh_field_store_visit_log.tsx",visit log remains a companion task
dsh_ops_orders_board,DSH Ops Orders Board,control-panel,"ops_path|partner_block|captain_block",screen,Keep,dsh_ops_orders_board,dsh_ops_governance_controls,entry,ops_order_detail_exception_workspace_or_proxy_list,observed,"STAFF_FLOW_MAP; ControlPanelDshOrdersScreen.tsx; ControlPanelDshOperationsScreen.tsx; DshOperationsHubSurface.tsx",canonical internal entry board
dsh_ops_entry_split_variants,DSH Ops Entry Split Variants,control-panel,ops_path,screen,Merge,dsh_ops_orders_board,dsh_ops_governance_controls,none,merged_into_ops_orders_board,observed,"ControlPanelDshOrdersScreen.tsx; ControlPanelDshOperationsScreen.tsx; DshOperationsHubSurface.tsx",overlapping donor ops entry surfaces are folded into one board
dsh_ops_order_detail_exception_workspace,DSH Ops Order Detail Exception Workspace,control-panel,"ops_path|partner_block|captain_block",screen,Keep,dsh_ops_order_detail_exception_workspace,dsh_ops_governance_controls,ops_orders_board,ops_orders_board_or_exit,observed,"ControlPanelDshOrderDetailScreen.tsx",exception handling stays distinct from the board
dsh_ops_peak_mode_control,DSH Ops Peak Mode Control,control-panel,ops_path,screen,Keep,dsh_ops_peak_mode_control,dsh_ops_governance_controls,ops_orders_board,ops_orders_board,observed,"DshPeakModeScreen.tsx",internal control screen retained
dsh_proxy_requests_list,Proxy Requests List,control-panel,proxy_exception,screen,Keep,dsh_proxy_requests_list,dsh_proxy_request_flow,entry_or_ops_board,proxy_request_review_workspace,observed,"shein-proxy-requests-list.tsx",explicit proxy governance list
dsh_proxy_request_review_workspace,Proxy Request Review Workspace,control-panel,proxy_exception,screen,Keep,dsh_proxy_request_review_workspace,dsh_proxy_request_flow,proxy_requests_list,proxy_requests_list_or_exit,observed,"shein-proxy-request-details.tsx; shein-proxy-request-estimate.tsx; shein-proxy-request-offer.tsx; shein-proxy-request-estimate-and-offer.tsx",proxy review variants are merged into one workspace
dsh_proxy_review_split_variants,Proxy Review Split Variants,control-panel,proxy_exception,screen,Merge,dsh_proxy_request_review_workspace,dsh_proxy_request_flow,none,merged_into_proxy_request_review_workspace,observed,"shein-proxy-request-details.tsx; shein-proxy-request-estimate.tsx; shein-proxy-request-offer.tsx; shein-proxy-request-estimate-and-offer.tsx",donor split proxy review screens are folded into one canonical workspace
dsh_proxy_schedule_companion,Proxy Schedule Companion,control-panel,proxy_exception,sheet,Convert,dsh_proxy_request_review_workspace,dsh_proxy_request_flow,proxy_request_review_workspace,proxy_request_review_workspace,observed,"shein-proxy-request-schedule.tsx",schedule remains a companion
dsh_ops_store_items_and_zone_admin_cluster,DSH Ops Store Items And Zone Admin Cluster,control-panel,out_of_current_service,screen,Move to Legacy,legacy_or_future_scope,none,none,none,observed,"AdminDshStoreItemsListScreen.tsx; DshZoneSetScreen.tsx",spillover admin work better owned by Catalogs or Partners
dsh_ops_arrival_bell_and_misc_cluster,DSH Ops Arrival Bell And Misc Cluster,control-panel,out_of_current_service,screen,Move to Legacy,legacy_or_future_scope,none,none,none,observed,"ControlPanelArrivalBellSettingsScreen.tsx",misc donor spillover not part of current DSH first-service truth
