screen_id,surface,actor,wave,route_candidate,primary_cta,operation_families,journeys,owner_layer,status
dsh_client_entry_discovery_home,app-client,customer,W01,dsh_client_entry_discovery_home,select_store_or_category,dsh_store_discovery,dsh_journey_mainline_customer_to_delivery,packages/surfaces,active
dsh_client_category_or_store_detail,app-client,customer,W01,dsh_client_category_or_store_detail,add_or_adjust_cart,dsh_store_discovery,dsh_journey_mainline_customer_to_delivery,packages/surfaces,active
dsh_client_cart_review,app-client,customer,W01,dsh_client_cart_review,proceed_to_checkout,dsh_cart_checkout_gate,dsh_journey_mainline_customer_to_delivery,packages/surfaces,active
dsh_client_checkout_confirm,app-client,customer,W01,dsh_client_checkout_confirm,submit_order,"dsh_cart_checkout_gate|dsh_order_submit",dsh_journey_mainline_customer_to_delivery,packages/surfaces,active
dsh_client_active_order_tracking,app-client,customer,W02,dsh_client_active_order_tracking,refresh_tracking,"dsh_customer_order_tracking|dsh_customer_order_chat",dsh_journey_mainline_customer_to_delivery|dsh_journey_customer_tracking_resume,packages/surfaces,active
dsh_client_proxy_request_entry,app-client,customer,W04,dsh_client_proxy_request_entry,submit_proxy_request,dsh_proxy_request_flow,dsh_journey_proxy_exception,packages/surfaces,active
dsh_client_proxy_request_tracking,app-client,customer,W04,dsh_client_proxy_request_tracking,refresh_proxy_status,dsh_proxy_request_flow,dsh_journey_proxy_exception,packages/surfaces,active
dsh_partner_orders_board,app-partner,partner,W02,dsh_partner_orders_board,open_next_order_workspace,dsh_partner_order_handling,dsh_journey_mainline_customer_to_delivery|dsh_journey_partner_block_recovery,packages/surfaces,active
dsh_partner_order_workspace,app-partner,partner,W02,dsh_partner_order_workspace,advance_order_to_next_partner_state,"dsh_partner_order_handling|dsh_customer_order_chat",dsh_journey_mainline_customer_to_delivery|dsh_journey_partner_block_recovery,packages/surfaces,active
dsh_partner_store_maintenance_workspace,app-partner,partner,W03,dsh_partner_store_maintenance_workspace,apply_store_readiness_fix,dsh_partner_store_maintenance,dsh_journey_partner_block_recovery,packages/surfaces,active
dsh_partner_order_issue_queue,app-partner,partner,W04,dsh_partner_order_issue_queue,open_issue_case,"dsh_partner_order_handling|dsh_customer_order_chat",dsh_journey_partner_block_recovery|dsh_journey_ops_governance_internal,packages/surfaces,active
dsh_captain_offers_list,app-captain,captain,W03,dsh_captain_offers_list,accept_delivery_offer,dsh_captain_offer_and_acceptance,dsh_journey_mainline_customer_to_delivery,packages/surfaces,active
dsh_captain_execution_workspace,app-captain,captain,W03,dsh_captain_execution_workspace,advance_delivery_step,"dsh_captain_offer_and_acceptance|dsh_captain_delivery_execution|dsh_customer_order_chat",dsh_journey_mainline_customer_to_delivery|dsh_journey_captain_block_recovery,packages/surfaces,active
dsh_captain_proof_capture,app-captain,captain,W03,dsh_captain_proof_capture,submit_delivery_proof,dsh_delivery_proof_and_verification,dsh_journey_mainline_customer_to_delivery,packages/surfaces,active
dsh_field_activation_workspace,app-field,field,W05,dsh_field_activation_workspace,record_activation_or_visit_result,dsh_field_activation_support,dsh_journey_field_support_optional,packages/surfaces,conditional
dsh_ops_orders_board,control-panel,ops,W04,dsh_ops_orders_board,open_exception_workspace,dsh_ops_governance_controls,dsh_journey_ops_governance_internal,packages/surfaces,active
dsh_ops_order_detail_exception_workspace,control-panel,ops,W04,dsh_ops_order_detail_exception_workspace,apply_exception_resolution,dsh_ops_governance_controls,dsh_journey_ops_governance_internal,packages/surfaces,active
dsh_ops_peak_mode_control,control-panel,ops,W04,dsh_ops_peak_mode_control,apply_peak_mode_change,dsh_ops_governance_controls,dsh_journey_ops_governance_internal,packages/surfaces,active
dsh_proxy_requests_list,control-panel,ops,W04,dsh_proxy_requests_list,open_proxy_review_workspace,dsh_proxy_request_flow,dsh_journey_proxy_exception,packages/surfaces,active
dsh_proxy_request_review_workspace,control-panel,ops,W04,dsh_proxy_request_review_workspace,commit_proxy_decision,dsh_proxy_request_flow,dsh_journey_proxy_exception,packages/surfaces,active
