"Wave","Priority","Surface","CandidateName","Operation","QueueType","RecommendedAction","Readiness","PrimaryRelativePath","Evidence"
"1","10","app-client","StyleSheet","dsh_promo_apply","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_cart_item_remove","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_cart_item_add","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_cart_init","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_cart","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_booking_create","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_awnak_order_create","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_loyalty_points_user","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_delivery_get","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_order_accept","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_order_cancel","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_subscription_sync","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_subscription_categories_get","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_subscription_family_members_post","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_subscription_family_members_get","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_subscription_family_get","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_stores_list","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_store","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_partner_agreement_and_checkout_spec","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_search","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_cart_item_update","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_reviews_list","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_categories_list","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_chat_read_ack","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_loyalty_points_redeem","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_listing_status_update","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_banner_","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_gas_refill_order_create","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_favorites_list","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_favorite_toggle","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_external_order_create","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
"1","10","app-client","StyleSheet","dsh_estimate_get","keep-rebuild-clean","REBUILD_CLEAN_ON_UIKIT","READY_FOR_REBUILD","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_earnings_history.tsx","repair-proposed-surface:app-client"
