"queue_order","wave_id","item_id","item_type","canonical_name","surface","screen_group","execution_strategy","implementation_action","owner_layer","target_repo_path","files_to_touch","depends_on","opens_next","ui_kit_prereq","contract_prereq","binding_prereq","runtime_prereq","acceptance_gate","status","blocked_by","notes"
"1","W01_FIRST_ACTIVE_BUNDLE","SCR_82","screen","dsh_cart_get","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q2","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"2","W01_FIRST_ACTIVE_BUNDLE","SCR_83","screen","dsh_cart_init","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q3","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"3","W01_FIRST_ACTIVE_BUNDLE","SCR_84","screen","dsh_cart_item_add","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q4","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"4","W01_FIRST_ACTIVE_BUNDLE","SCR_85","screen","dsh_cart_item_remove","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q5","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"5","W01_FIRST_ACTIVE_BUNDLE","SCR_86","screen","dsh_cart_item_update","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q6","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"6","W01_FIRST_ACTIVE_BUNDLE","SCR_87","screen","dsh_categories_list","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q7","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"7","W01_FIRST_ACTIVE_BUNDLE","SCR_88","screen","dsh_category_get","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q8","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"8","W01_FIRST_ACTIVE_BUNDLE","SCR_103","screen","dsh_favorite_toggle","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q9","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"9","W01_FIRST_ACTIVE_BUNDLE","SCR_104","screen","dsh_favorites_list","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q10","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"10","W01_FIRST_ACTIVE_BUNDLE","SCR_106","screen","dsh_home_get","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q11","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"11","W01_FIRST_ACTIVE_BUNDLE","SCR_134","screen","dsh_search","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q12","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"12","W01_FIRST_ACTIVE_BUNDLE","SCR_137","screen","dsh_store_get","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q13","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"13","W01_FIRST_ACTIVE_BUNDLE","SCR_138","screen","dsh_store_items_list","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q14","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"14","W01_FIRST_ACTIVE_BUNDLE","SCR_139","screen","dsh_stores_list","app-client","client_discovery_commerce","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q15","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"15","W01_FIRST_ACTIVE_BUNDLE","SCR_149","screen","dsh_banners_list","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q16","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"16","W01_FIRST_ACTIVE_BUNDLE","SCR_150","screen","dsh_cart_price","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q17","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"17","W01_FIRST_ACTIVE_BUNDLE","SCR_151","screen","dsh_categories_list_shared","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q18","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"18","W01_FIRST_ACTIVE_BUNDLE","SCR_152","screen","dsh_category_detail","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q19","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"19","W01_FIRST_ACTIVE_BUNDLE","SCR_153","screen","dsh_checkout_payment_method_select","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q20","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"20","W01_FIRST_ACTIVE_BUNDLE","SCR_154","screen","dsh_customer_preferences_detail","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q21","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"21","W01_FIRST_ACTIVE_BUNDLE","SCR_155","screen","dsh_customer_profile_detail","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q22","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"22","W01_FIRST_ACTIVE_BUNDLE","SCR_156","screen","dsh_customer_profile_update","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q23","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"23","W01_FIRST_ACTIVE_BUNDLE","SCR_158","screen","dsh_orders_create_screen","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q24","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"24","W01_FIRST_ACTIVE_BUNDLE","SCR_159","screen","dsh_partner_order_accept_alt_screen","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q25","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"25","W01_FIRST_ACTIVE_BUNDLE","SCR_160","screen","dsh_partner_order_chat_message_create_screen","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q26","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"26","W01_FIRST_ACTIVE_BUNDLE","SCR_161","screen","dsh_partner_order_chat_messages_list_screen","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q27","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"27","W01_FIRST_ACTIVE_BUNDLE","SCR_162","screen","dsh_partner_order_chat_read_ack_screen","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q28","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"28","W01_FIRST_ACTIVE_BUNDLE","SCR_157","screen","dsh_partner_orders_list_shared","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q29","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"29","W01_FIRST_ACTIVE_BUNDLE","SCR_148","screen","dsh_store_items_list_shared","shared","shared_components","extract_partial_then_rebuild_clean","normalize_shared_then_wire","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q30","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"30","W02_PROXY_USER_FLOW","SCR_80","screen","dsh_awnak_order_create","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q31","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"31","W02_PROXY_USER_FLOW","SCR_91","screen","dsh_checkout_gate","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q32","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"32","W02_PROXY_USER_FLOW","SCR_92","screen","dsh_delivery_attempt_create","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q33","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"33","W02_PROXY_USER_FLOW","SCR_93","screen","dsh_delivery_attempts_list","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q34","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"34","W02_PROXY_USER_FLOW","SCR_94","screen","dsh_delivery_close","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q35","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"35","W02_PROXY_USER_FLOW","SCR_95","screen","dsh_delivery_eta_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q36","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
