"screen_or_wave_id","required_token_group","required_layout_primitives","required_cards","required_inputs","required_feedback_patterns","required_navigation_patterns","required_sheet_modal_patterns","required_state_shells","missing_now","must_build_before_screen","status"
"SCR_82","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_83","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_84","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_85","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_86","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_87","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_88","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_103","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_104","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_106","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_134","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_137","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_138","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_139","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_149","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_150","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_151","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_152","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_153","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_154","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_155","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_156","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_158","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_159","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_160","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_161","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_162","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_157","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_148","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
