operationId,service,category,description,status,implemented,rbac_domain,surfaces_mobile,surfaces_web_control_panel,runtime_vars,preconditions_count,postconditions_count,error_scenarios_count,phase,gate
dsh_captain_orders_offers_get,DSH,CAPTAIN,dsh_captain_orders_offers_get — GET /api/dsh/captain/orders/offers (عروض لأقرب 5 كباتن),ACTIVE,yes,RBAC_DSH,app-captain,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_operations_peak_mode_put,DSH,CAPTAIN,dsh_operations_peak_mode_put — PUT /api/dsh/operations/peak-mode (لوحة التحكم: السماح بعدة طلبات للكابتن في الذروة),ACTIVE,yes,RBAC_DSH,,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_captain_chat_read_ack,DSH,CAPTAIN,dsh_captain_chat_read_ack — POST /api/dsh/captain/orders/{order_id}/chat/read-ack,ACTIVE,yes,RBAC_DSH,app-captain,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_captain_chat_send,DSH,CAPTAIN,dsh_captain_chat_send — POST /api/dsh/captain/orders/{order_id}/chat/messages,ACTIVE,yes,RBAC_DSH,app-captain,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_captain_cod_balance,DSH,CAPTAIN,dsh_captain_cod_balance — GET /api/dsh/captain/cod-balance,ACTIVE,yes,RBAC_DSH,app-captain,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_captain_job_reject,DSH,CAPTAIN,dsh_captain_job_reject — POST /api/dsh/captain/jobs/{jobId}/reject,ACTIVE,yes,RBAC_DSH,app-captain,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_captain_proof_upload,DSH,CAPTAIN,dsh_captain_proof_upload — POST /api/dsh/captain/jobs/{jobId}/proof,ACTIVE,yes,RBAC_DSH,app-captain,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_chat_read_ack,DSH,CHAT,dsh_chat_read_ack — POST /api/dsh/orders/{order_id}/chat/read-ack,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_chat_send,DSH,CHAT,dsh_chat_send — POST /api/dsh/orders/{order_id}/chat/messages,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_checkout_gate,DSH,DSH_GENERAL,dsh_checkout_gate — POST /api/dsh/checkout/gate,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
