"screen_id","canonical_name","surface","canonical_route","target_shell_path","nav_owner","status","source_trace"
"SCR_W1_001","dsh_entry_screen","app-client","/dsh/entry","apps/mobile/app-client/src/shell/routes.ts","packages/surfaces routing contracts","wave1_locked","packages/surfaces/src/dsh/app-client/entry/screens/DshEntryScreen.tsx"
"SCR_10","dsh_finance_dsh","control-panel","/finance/dsh","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/finance/dsh/page.tsx"
"SCR_11","dsh_operations_dsh_arrival-bell","control-panel","/operations/dsh/arrival-bell","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/arrival-bell/page.tsx"
"SCR_12","dsh_operations_dsh_orders_[id]","control-panel","/operations/dsh/orders/[id]","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/orders/[id]/page.tsx"
"SCR_13","dsh_operations_dsh_orders","control-panel","/operations/dsh/orders","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/orders/page.tsx"
"SCR_14","dsh_operations_dsh","control-panel","/operations/dsh","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/page.tsx"
"SCR_15","dsh_operations_dsh_peak-mode","control-panel","/operations/dsh/peak-mode","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/peak-mode/page.tsx"
"SCR_16","dsh_operations_dsh_reassign","control-panel","/operations/dsh/reassign","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/reassign/page.tsx"
"SCR_17","dsh_operations_dsh_sheinproxy_[id]_estimate","control-panel","/operations/dsh/sheinproxy/[id]/estimate","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/estimate/page.tsx"
"SCR_18","dsh_operations_dsh_sheinproxy_[id]_offer","control-panel","/operations/dsh/sheinproxy/[id]/offer","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/offer/page.tsx"
"SCR_19","dsh_operations_dsh_sheinproxy_[id]","control-panel","/operations/dsh/sheinproxy/[id]","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/page.tsx"
"SCR_20","dsh_operations_dsh_sheinproxy_[id]_schedule","control-panel","/operations/dsh/sheinproxy/[id]/schedule","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/schedule/page.tsx"
"SCR_21","dsh_operations_dsh_sheinproxy","control-panel","/operations/dsh/sheinproxy","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/sheinproxy/page.tsx"
"SCR_22","dsh_operations_dsh_zone-set","control-panel","/operations/dsh/zone-set","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/operations/dsh/zone-set/page.tsx"
"SCR_23","dsh_service-catalog_services_dsh","control-panel","/service-catalog/services/dsh","apps/web/control-panel","packages/surfaces routing contracts","seeded_locked","apps/web/control-panel/app/service-catalog/services/dsh/page.tsx"
"SCR_24","dsh_captain_chat_read_ack","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_chat_read_ack.tsx"
"SCR_25","dsh_captain_chat_send","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_chat_send.tsx"
"SCR_26","dsh_captain_cod_balance","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_cod_balance.tsx"
"SCR_27","dsh_captain_job_reject","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_job_reject.tsx"
"SCR_28","dsh_captain_order_accept","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_accept.tsx"
"SCR_29","dsh_captain_order_deliver","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_deliver.tsx"
"SCR_30","dsh_captain_order_details","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_details.tsx"
"SCR_31","dsh_captain_order_get","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_get.tsx"
"SCR_32","dsh_captain_order_pickup","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_pickup.tsx"
"SCR_33","dsh_captain_orders_list","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_orders_list.tsx"
"SCR_34","dsh_captain_orders_offers_list","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_orders_offers_list.tsx"
"SCR_35","dsh_captain_profile_get","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_profile_get.tsx"
"SCR_36","dsh_captain_proof_upload","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_proof_upload.tsx"
"SCR_37","dsh_captain_tier_evaluate","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_tier_evaluate.tsx"
"SCR_38","dsh_captain_tier_info","app-captain","no_route_component","apps/mobile/app-captain","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_tier_info.tsx"
"SCR_39","dsh_field_store_activation_request","app-field","no_route_component","apps/mobile/app-field","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-field/mobile/auto_dsh_field_store_activation_request.tsx"
"SCR_40","dsh_field_store_geo_pin","app-field","no_route_component","apps/mobile/app-field","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-field/mobile/auto_dsh_field_store_geo_pin.tsx"
"SCR_41","dsh_field_store_visit_log","app-field","no_route_component","apps/mobile/app-field","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-field/mobile/auto_dsh_field_store_visit_log.tsx"
"SCR_42","dsh_partner_auction_status_update","app-partner","no_route_component","apps/mobile/app-partner","packages/surfaces routing contracts","seeded_locked","packages/surfaces/src/dsh/app-partner/mobile/auto_dsh_partner_auction_status_update.tsx"
