"screen_id","component_name","target_component_path","shared_or_local","depends_on_ui_kit","owner","status"
"SCR_10","dsh_finance_dsh","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_11","dsh_operations_dsh_arrival-bell","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_12","dsh_operations_dsh_orders_[id]","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_13","dsh_operations_dsh_orders","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_14","dsh_operations_dsh","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_15","dsh_operations_dsh_peak-mode","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_16","dsh_operations_dsh_reassign","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_17","dsh_operations_dsh_sheinproxy_[id]_estimate","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_18","dsh_operations_dsh_sheinproxy_[id]_offer","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_19","dsh_operations_dsh_sheinproxy_[id]","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_20","dsh_operations_dsh_sheinproxy_[id]_schedule","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_21","dsh_operations_dsh_sheinproxy","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_22","dsh_operations_dsh_zone-set","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_23","dsh_service-catalog_services_dsh","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_24","dsh_captain_chat_read_ack","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_25","dsh_captain_chat_send","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
