"screen_id","viewmodel_id","hook_or_controller_name","target_package_or_app","api_client_needed","read_models","write_actions","error_normalization_required","status"
"SCR_10","vm_dsh_finance_dsh","use_dsh_finance_dsh","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_11","vm_dsh_operations_dsh_arrival-bell","use_dsh_operations_dsh_arrival-bell","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_12","vm_dsh_operations_dsh_orders_[id]","use_dsh_operations_dsh_orders_[id]","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_13","vm_dsh_operations_dsh_orders","use_dsh_operations_dsh_orders","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_14","vm_dsh_operations_dsh","use_dsh_operations_dsh","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_15","vm_dsh_operations_dsh_peak-mode","use_dsh_operations_dsh_peak-mode","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_16","vm_dsh_operations_dsh_reassign","use_dsh_operations_dsh_reassign","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_17","vm_dsh_operations_dsh_sheinproxy_[id]_estimate","use_dsh_operations_dsh_sheinproxy_[id]_estimate","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_18","vm_dsh_operations_dsh_sheinproxy_[id]_offer","use_dsh_operations_dsh_sheinproxy_[id]_offer","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_19","vm_dsh_operations_dsh_sheinproxy_[id]","use_dsh_operations_dsh_sheinproxy_[id]","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_20","vm_dsh_operations_dsh_sheinproxy_[id]_schedule","use_dsh_operations_dsh_sheinproxy_[id]_schedule","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_21","vm_dsh_operations_dsh_sheinproxy","use_dsh_operations_dsh_sheinproxy","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_22","vm_dsh_operations_dsh_zone-set","use_dsh_operations_dsh_zone-set","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_23","vm_dsh_service-catalog_services_dsh","use_dsh_service-catalog_services_dsh","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_24","vm_dsh_captain_chat_read_ack","use_dsh_captain_chat_read_ack","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_25","vm_dsh_captain_chat_send","use_dsh_captain_chat_send","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_26","vm_dsh_captain_cod_balance","use_dsh_captain_cod_balance","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_27","vm_dsh_captain_job_reject","use_dsh_captain_job_reject","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_28","vm_dsh_captain_order_accept","use_dsh_captain_order_accept","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_29","vm_dsh_captain_order_deliver","use_dsh_captain_order_deliver","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_30","vm_dsh_captain_order_details","use_dsh_captain_order_details","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_31","vm_dsh_captain_order_get","use_dsh_captain_order_get","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_32","vm_dsh_captain_order_pickup","use_dsh_captain_order_pickup","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_33","vm_dsh_captain_orders_list","use_dsh_captain_orders_list","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_34","vm_dsh_captain_orders_offers_list","use_dsh_captain_orders_offers_list","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_35","vm_dsh_captain_profile_get","use_dsh_captain_profile_get","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_36","vm_dsh_captain_proof_upload","use_dsh_captain_proof_upload","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_37","vm_dsh_captain_tier_evaluate","use_dsh_captain_tier_evaluate","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_38","vm_dsh_captain_tier_info","use_dsh_captain_tier_info","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_39","vm_dsh_field_store_activation_request","use_dsh_field_store_activation_request","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_40","vm_dsh_field_store_geo_pin","use_dsh_field_store_geo_pin","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_41","vm_dsh_field_store_visit_log","use_dsh_field_store_visit_log","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_42","vm_dsh_partner_auction_status_update","use_dsh_partner_auction_status_update","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_43","vm_dsh_partner_audience_insights_get","use_dsh_partner_audience_insights_get","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_44","vm_dsh_partner_chat_read_ack","use_dsh_partner_chat_read_ack","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_45","vm_dsh_partner_chat_send","use_dsh_partner_chat_send","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
"SCR_46","vm_dsh_partner_commission_by_mode_get","use_dsh_partner_commission_by_mode_get","packages/surfaces","yes","dsh read models","operation-bound actions","yes","seeded_locked"
