"donor_path","top_bucket","file_role","derived_operation_id","surface_guess","extension","target_family_guess","target_status","matched_candidate_ids","canonical_targets","candidate_decisions","mapping_confidence","notes"
"apps/backend/api-host/dist/apps/backend/api-host/src/local-prod/dsh-home-infra.controller.d.ts","apps","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/apps/backend/api-host/src/local-prod/dsh-home-infra.controller.js","apps","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/apps/backend/api-host/src/local-prod/dsh-home-infra.controller.js.map","apps","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/apps/backend/api-host/src/local-prod/dsh-home-seed.d.ts","apps","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/apps/backend/api-host/src/local-prod/dsh-home-seed.js","apps","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/apps/backend/api-host/src/local-prod/dsh-home-seed.js.map","apps","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/controllers/dsh.controller.d.ts","apps","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/controllers/dsh.controller.js","apps","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/controllers/dsh.controller.js.map","apps","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/dsh-shein.service.d.ts","apps","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/dsh-shein.service.js","apps","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/dsh-shein.service.js.map","apps","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/dsh.module.d.ts","apps","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/dsh.module.js","apps","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/dsh.module.js.map","apps","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/entities/shein-proxy-request.entity.d.ts","apps","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/entities/shein-proxy-request.entity.js","apps","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/entities/shein-proxy-request.entity.js.map","apps","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/index.d.ts","apps","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/index.js","apps","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/dist/services/dsh/src/index.js.map","apps","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/src/local-prod/dsh-home-infra.controller.ts","apps","local_prod_dsh_helper","","",".ts","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/src/local-prod/dsh-home-seed.ts","apps","local_prod_dsh_helper","","",".ts","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/analytics/dsh-orders/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/finance/dsh/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/arrival-bell/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/orders/[id]/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/orders/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/peak-mode/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/reassign/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/estimate/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/offer/page.tsx","apps","app_route_page","dsh_proxy_request_offer","control-panel",".tsx","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","","high","Proxy exception family with customer entry and internal review."
"apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/page.tsx","apps","app_route_page","dsh_proxy_request_review_cluster","control-panel",".tsx","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","","high","Proxy exception family with customer entry and internal review."
"apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/schedule/page.tsx","apps","app_route_page","dsh_proxy_request_schedule","control-panel",".tsx","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","","high","Proxy exception family with customer entry and internal review."
"apps/web/control-panel/app/operations/dsh/sheinproxy/page.tsx","apps","app_route_page","","control-panel",".tsx","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/control-panel/app/operations/dsh/zone-set/page.tsx","apps","app_route_page","dsh_zone_set","control-panel",".tsx","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","","medium","Donor mixes partner and CONTROL_PANEL/admin ownership here; clean target model narrows or defers it."
"apps/web/control-panel/app/service-catalog/services/dsh/page.tsx","apps","app_route_page","dsh_service_catalog_entry","control-panel",".tsx","UNMAPPED","support_only","","","","low","No current deterministic clean mapping rule found."
"apps/web/control-panel/app/support/dsh-chat/page.tsx","apps","app_route_page","dsh_chat_support_cluster","control-panel",".tsx","UNMAPPED","support_only","","","","low","No current deterministic clean mapping rule found."
"packages/api-clients/dist/dsh/dsh-captain-api.d.ts","packages","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-captain-api.d.ts.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-captain-api.js","packages","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-captain-api.js.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-cart-api.d.ts","packages","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-cart-api.d.ts.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-cart-api.js","packages","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-cart-api.js.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-field-partner-api.d.ts","packages","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-field-partner-api.d.ts.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-field-partner-api.js","packages","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-field-partner-api.js.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-gas-refill-api.d.ts","packages","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-gas-refill-api.d.ts.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-gas-refill-api.js","packages","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-gas-refill-api.js.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-operations-api.d.ts","packages","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-operations-api.d.ts.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-operations-api.js","packages","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-operations-api.js.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-orders-api.d.ts","packages","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-orders-api.d.ts.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-orders-api.js","packages","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/dsh/dsh-orders-api.js.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/lib/dsh/dsh-api.d.ts","packages","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/lib/dsh/dsh-api.d.ts.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/lib/dsh/dsh-api.js","packages","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/lib/dsh/dsh-api.js.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/lib/dsh/dsh-stores-api.d.ts","packages","generated_artifact","","",".ts","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/lib/dsh/dsh-stores-api.d.ts.map","packages","generated_artifact","","",".map","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/api-clients/dist/lib/dsh/dsh-stores-api.js","packages","generated_artifact","","",".js","","generated_copy","","","","n/a","Supporting or cluster-level file without a single operation identity."
