"operation_id","canonical_chain","raw_bypasses_forbidden","verification_rule","current_status"
"arrival_bell","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_auction_status_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_booking_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_captain_chat_read_ack","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_captain_chat_send","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_captain_cod_balance","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_captain_job_reject","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_captain_proof_upload","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_captain_tier_evaluate","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_captain_tier_info","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_cart_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_cart_init","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_cart_item_add","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_cart_item_remove","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_cart_item_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_chat_read_ack","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_chat_send","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_checkout_gate","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_delivery_attempt_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_delivery_eta_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_delivery_position_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_delivery_reassign_request","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_delivery_track_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_entitlements_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_estimate_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_estimate_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_external_order_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_field_store_activation_request","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_field_store_geo_pin","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
