"operation_id","category","donor_status","donor_catalog_implemented","donor_mobile_surfaces","donor_web_control_panel_surfaces","dossier_exists","dossier_file_count","dossier_complete","has_spec","has_screens_map","has_runtime_vars","has_rbac_abac","has_control_panel_map","has_gaps","has_evidence_index","has_api_map","has_actions_catalog","has_acceptance","donor_screen_ids","donor_routes","donor_route_surfaces","trace_seal_status","trace_backend_path","trace_screen_path","trace_control_panel_path","target_family_guess","target_status","target_candidate_ids","target_canonical_targets","mapping_confidence","mapping_notes"
"dsh_captain_orders_offers_get","CAPTAIN","ACTIVE","yes","app-captain","app-client","False","0","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","dsh_captain_offer_and_acceptance","covered","dsh_captain_offers_list","dsh_captain_offers_list","high","Captain offer entry family."
"dsh_operations_peak_mode_put","CAPTAIN","ACTIVE","yes","","control-panel","False","0","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","dsh_ops_governance_controls","internal_or_support","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","medium","Internal oversight or exception handling family."
"dsh_captain_chat_read_ack","CAPTAIN","ACTIVE","yes","app-captain","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_captain_chat_read_ack","/dsh/planned","APP_CAPTAIN","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_captain_chat_companion","dsh_captain_execution_workspace","high","Captain chat is kept as a companion interaction."
"dsh_captain_chat_send","CAPTAIN","ACTIVE","yes","app-captain","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_captain_chat_send","/dsh/planned","APP_CAPTAIN","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_captain_chat_companion","dsh_captain_execution_workspace","high","Captain chat is kept as a companion interaction."
"dsh_captain_cod_balance","CAPTAIN","ACTIVE","yes","app-captain","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_captain_cod_balance","/dsh/planned","APP_CAPTAIN","PLANNED_ONLY","","","","legacy_captain_finance_tier","move_to_legacy","dsh_captain_finance_and_tier_cluster","","high","Finance and tier material sits outside current first-service truth."
"dsh_captain_job_reject","CAPTAIN","ACTIVE","yes","app-captain","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_captain_job_reject","/dsh/planned","APP_CAPTAIN","PLANNED_ONLY","","","","dsh_captain_offer_and_acceptance","converted_companion","dsh_captain_reject_action","dsh_captain_execution_workspace","high","Reject action is subordinate to captain execution."
"dsh_captain_proof_upload","CAPTAIN","ACTIVE","yes","app-captain","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_captain_proof_upload","/dsh/planned","APP_CAPTAIN","PLANNED_ONLY","","","","dsh_delivery_proof_and_verification","covered","dsh_captain_proof_capture","dsh_captain_proof_capture","high","Proof capture is an explicit completion gate."
"dsh_chat_read_ack","CHAT","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","dsh_chat_read_ack","/dsh/chat/read-ack","APP_CLIENT","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_client_order_chat_companion","dsh_client_active_order_tracking","high","Customer chat is subordinate to active tracking."
"dsh_chat_send","CHAT","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","dsh_chat_send","/dsh/chat/messages","APP_CLIENT","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_client_order_chat_companion","dsh_client_active_order_tracking","high","Customer chat is subordinate to active tracking."
"dsh_checkout_gate","DSH_GENERAL","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_checkout_gate","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
