"operation_id","runtime_class","fixture_backed","bind_ready","runtime_ready","proof_ready","notes"
"arrival_bell","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_auction_status_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_booking_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_captain_chat_read_ack","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_captain_chat_send","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_captain_cod_balance","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_captain_job_reject","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_captain_proof_upload","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_captain_tier_evaluate","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_captain_tier_info","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_cart_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_cart_init","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_cart_item_add","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_cart_item_remove","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_cart_item_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_chat_read_ack","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_chat_send","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_checkout_gate","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_delivery_attempt_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_delivery_eta_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_delivery_position_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_delivery_reassign_request","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_delivery_track_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_entitlements_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_estimate_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_estimate_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_external_order_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_field_store_activation_request","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_field_store_geo_pin","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_field_store_visit_log","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_generate_analytics_report","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_get_dashboard_metrics","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_listing_status_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_loyalty_points_redeem","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_loyalty_points_user_balance","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_loyalty_points_user_history","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_accept","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_complete","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_escrow_hold","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_escrow_release","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_issue_flag","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_proof_code_generate","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_proof_verify","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_rate","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_receipt_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_order_status_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_orders_list","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_chat_read_ack","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_chat_send","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_delivery_zones_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_doc_upload","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_hours_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_identity_submit","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_intake_start","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_inventory_adjust","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_inventory_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_items_upsert","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_manager_invite","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_order_handoff","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_quick_reply_config_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
