"donor_path","donor_role","surface_guess","derived_operation_id","target_family_guess","target_status","matched_candidate_ids","canonical_targets","candidate_decisions","mapping_confidence","notes"
"apps/backend/api-host/src/local-prod/dsh-home-infra.controller.ts","local_prod_dsh_helper","","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/backend/api-host/src/local-prod/dsh-home-seed.ts","local_prod_dsh_helper","","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/analytics/dsh-orders/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/finance/dsh/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/arrival-bell/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/orders/[id]/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/orders/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/peak-mode/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/reassign/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/sheinproxy/[id]/estimate/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/sheinproxy/[id]/offer/page.tsx","app_route_page","control-panel","dsh_proxy_request_offer","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","","high","Proxy exception family with customer entry and internal review."
"apps/web/mcpw/app/operations/dsh/sheinproxy/[id]/page.tsx","app_route_page","control-panel","dsh_proxy_request_review_cluster","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","","high","Proxy exception family with customer entry and internal review."
"apps/web/mcpw/app/operations/dsh/sheinproxy/[id]/schedule/page.tsx","app_route_page","control-panel","dsh_proxy_request_schedule","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","","high","Proxy exception family with customer entry and internal review."
"apps/web/mcpw/app/operations/dsh/sheinproxy/page.tsx","app_route_page","control-panel","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"apps/web/mcpw/app/operations/dsh/zone-set/page.tsx","app_route_page","control-panel","dsh_zone_set","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","","medium","Donor mixes partner and MCPW/admin ownership here; clean target model narrows or defers it."
"apps/web/mcpw/app/service-catalog/services/dsh/page.tsx","app_route_page","control-panel","dsh_service_catalog_entry","UNMAPPED","support_only","","","","low","No current deterministic clean mapping rule found."
"apps/web/mcpw/app/support/dsh-chat/page.tsx","app_route_page","control-panel","dsh_chat_support_cluster","UNMAPPED","support_only","","","","low","No current deterministic clean mapping rule found."
"packages/domain-types/src/dsh-captain.ts","domain_type","","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/domain-types/src/dsh.ts","domain_type","","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/surfaces/src/dsh/__tests__/pattern_unification.test.ts","surface_component","","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/surfaces/src/dsh/app-captain/hooks/useDshCaptainDeliveryPositionPing.ts","surface_component","app-captain","","","support_only","","","","n/a","Supporting or cluster-level file without a single operation identity."
"packages/surfaces/src/dsh/app-captain/mobile/auto_captain_earnings_history.tsx","surface_component","app-captain","","","support_only","dsh_captain_finance_and_tier_cluster","legacy_or_future_scope","Move to Legacy","n/a","Supporting or cluster-level file without a single operation identity."
"packages/surfaces/src/dsh/app-captain/mobile/auto_captain_financial_reports.tsx","surface_component","app-captain","","","support_only","dsh_captain_finance_and_tier_cluster","legacy_or_future_scope","Move to Legacy","n/a","Supporting or cluster-level file without a single operation identity."
"packages/surfaces/src/dsh/app-captain/mobile/auto_captain_payments.tsx","surface_component","app-captain","","","support_only","dsh_captain_finance_and_tier_cluster","legacy_or_future_scope","Move to Legacy","n/a","Supporting or cluster-level file without a single operation identity."
"packages/surfaces/src/dsh/app-captain/mobile/auto_captain_settlements.tsx","surface_component","app-captain","","","support_only","dsh_captain_finance_and_tier_cluster","legacy_or_future_scope","Move to Legacy","n/a","Supporting or cluster-level file without a single operation identity."
"packages/surfaces/src/dsh/app-captain/mobile/auto_captain_wallet.tsx","surface_component","app-captain","","","support_only","dsh_captain_finance_and_tier_cluster","legacy_or_future_scope","Move to Legacy","n/a","Supporting or cluster-level file without a single operation identity."
"packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_chat_read_ack.tsx","surface_component","app-captain","dsh_captain_chat_read_ack","dsh_customer_order_chat","converted_companion","dsh_captain_chat_companion","dsh_captain_execution_workspace","Convert","high","Captain chat is kept as a companion interaction."
"packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_chat_send.tsx","surface_component","app-captain","dsh_captain_chat_send","dsh_customer_order_chat","converted_companion","dsh_captain_chat_companion","dsh_captain_execution_workspace","Convert","high","Captain chat is kept as a companion interaction."
"packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_cod_balance.tsx","surface_component","app-captain","dsh_captain_cod_balance","legacy_captain_finance_tier","move_to_legacy","dsh_captain_finance_and_tier_cluster","legacy_or_future_scope","Move to Legacy","high","Finance and tier material sits outside current first-service truth."
"packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_job_reject.tsx","surface_component","app-captain","dsh_captain_job_reject","dsh_captain_offer_and_acceptance","converted_companion","dsh_captain_execution_workspace|dsh_captain_order_step_variants|dsh_captain_reject_action","dsh_captain_execution_workspace","Convert|Keep|Merge","high","Reject action is subordinate to captain execution."
"packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_accept.tsx","surface_component","app-captain","dsh_captain_order_accept","UNMAPPED","candidate_keep|candidate_merge","dsh_captain_execution_workspace|dsh_captain_order_step_variants","dsh_captain_execution_workspace","Keep|Merge","low","No current deterministic clean mapping rule found."
"packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_deliver.tsx","surface_component","app-captain","dsh_captain_order_deliver","UNMAPPED","candidate_keep|candidate_merge","dsh_captain_execution_workspace|dsh_captain_order_step_variants","dsh_captain_execution_workspace","Keep|Merge","low","No current deterministic clean mapping rule found."
"packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_details.tsx","surface_component","app-captain","dsh_captain_order_details","UNMAPPED","candidate_keep|candidate_merge","dsh_captain_execution_workspace|dsh_captain_order_step_variants","dsh_captain_execution_workspace","Keep|Merge","low","No current deterministic clean mapping rule found."
"packages/surfaces/src/dsh/app-captain/mobile/auto_dsh_captain_order_get.tsx","surface_component","app-captain","dsh_captain_order_get","UNMAPPED","candidate_keep","dsh_captain_execution_workspace","dsh_captain_execution_workspace","Keep","low","No current deterministic clean mapping rule found."
