"screen_id","canonical_name","surface","actor","screen_group","mapped_wave","execution_strategy","implementation_action","route","related_operations","source_trace"
"SCR_10","dsh_finance_dsh","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/finance/dsh","dsh_finance_dsh","apps/web/control-panel/app/finance/dsh/page.tsx"
"SCR_11","dsh_operations_dsh_arrival-bell","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/operations/dsh/arrival-bell","arrival_bell|dsh_operations_dsh_arrival_bell","apps/web/control-panel/app/operations/dsh/arrival-bell/page.tsx"
"SCR_12","dsh_operations_dsh_orders_[id]","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/operations/dsh/orders/[id]","arrival_bell|dsh_operations_dsh_orders_id|dsh_order_get","apps/web/control-panel/app/operations/dsh/orders/[id]/page.tsx"
"SCR_13","dsh_operations_dsh_orders","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/operations/dsh/orders","dsh_operations_dsh_orders","apps/web/control-panel/app/operations/dsh/orders/page.tsx"
"SCR_14","dsh_operations_dsh","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/operations/dsh","dsh_operations_dsh","apps/web/control-panel/app/operations/dsh/page.tsx"
"SCR_15","dsh_operations_dsh_peak-mode","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/operations/dsh/peak-mode","dsh_operations_dsh_peak_mode","apps/web/control-panel/app/operations/dsh/peak-mode/page.tsx"
"SCR_16","dsh_operations_dsh_reassign","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/operations/dsh/reassign","dsh_operations_dsh_reassign","apps/web/control-panel/app/operations/dsh/reassign/page.tsx"
"SCR_17","dsh_operations_dsh_sheinproxy_[id]_estimate","control-panel","ops|admin","control_proxy_ops","W03_CONTROL_PANEL_PROXY","contract_first_binding_first","bind_then_surface","/operations/dsh/sheinproxy/[id]/estimate","dsh_operations_dsh_sheinproxy_id_estimate","apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/estimate/page.tsx"
"SCR_18","dsh_operations_dsh_sheinproxy_[id]_offer","control-panel","ops|admin","control_proxy_ops","W03_CONTROL_PANEL_PROXY","contract_first_binding_first","bind_then_surface","/operations/dsh/sheinproxy/[id]/offer","dsh_operations_dsh_sheinproxy_id_offer","apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/offer/page.tsx"
"SCR_19","dsh_operations_dsh_sheinproxy_[id]","control-panel","ops|admin","control_proxy_ops","W03_CONTROL_PANEL_PROXY","contract_first_binding_first","bind_then_surface","/operations/dsh/sheinproxy/[id]","dsh_operations_dsh_sheinproxy_id","apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/page.tsx"
"SCR_20","dsh_operations_dsh_sheinproxy_[id]_schedule","control-panel","ops|admin","control_proxy_ops","W03_CONTROL_PANEL_PROXY","contract_first_binding_first","bind_then_surface","/operations/dsh/sheinproxy/[id]/schedule","dsh_operations_dsh_sheinproxy_id_schedule","apps/web/control-panel/app/operations/dsh/sheinproxy/[id]/schedule/page.tsx"
"SCR_21","dsh_operations_dsh_sheinproxy","control-panel","ops|admin","control_proxy_ops","W03_CONTROL_PANEL_PROXY","contract_first_binding_first","bind_then_surface","/operations/dsh/sheinproxy","dsh_operations_dsh_sheinproxy","apps/web/control-panel/app/operations/dsh/sheinproxy/page.tsx"
"SCR_22","dsh_operations_dsh_zone-set","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/operations/dsh/zone-set","dsh_operations_dsh_zone_set","apps/web/control-panel/app/operations/dsh/zone-set/page.tsx"
"SCR_23","dsh_service-catalog_services_dsh","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_PROXY","rebuild_clean_ui_first","build_surface_then_bind","/service-catalog/services/dsh","dsh_service_catalog_services_dsh","apps/web/control-panel/app/service-catalog/services/dsh/page.tsx"
