"operation_id","family","operation_type","trigger","preconditions","steps","state_effect","success_outcome","failure_modes","retry_policy","binding_chain","source_trace"
"arrival_bell","general_dsh","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/arrival_bell/OP_SPEC.yaml"
"dsh_auction_status_update","general_dsh","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_auction_status_update/OP_SPEC.yaml"
"dsh_booking_create","general_dsh","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_booking_create/OP_SPEC.yaml"
"dsh_captain_chat_read_ack","general_dsh","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_captain_chat_read_ack/OP_SPEC.yaml"
"dsh_captain_chat_send","general_dsh","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_captain_chat_send/OP_SPEC.yaml"
"dsh_captain_cod_balance","general_dsh","READ","query_or_screen_load","actor entitlement + valid input + route context","authorize -> query -> normalize -> project","read_projection","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_captain_cod_balance/OP_SPEC.yaml"
"dsh_captain_job_reject","general_dsh","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_captain_job_reject/OP_SPEC.yaml"
"dsh_captain_proof_upload","general_dsh","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_captain_proof_upload/OP_SPEC.yaml"
"dsh_captain_tier_evaluate","general_dsh","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_captain_tier_evaluate/OP_SPEC.yaml"
"dsh_captain_tier_info","general_dsh","READ","query_or_screen_load","actor entitlement + valid input + route context","authorize -> query -> normalize -> project","read_projection","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_captain_tier_info/OP_SPEC.yaml"
"dsh_cart_get","general_dsh","READ","query_or_screen_load","actor entitlement + valid input + route context","authorize -> query -> normalize -> project","read_projection","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/dsh/governance/operations/dsh_cart_get/OP_SPEC.yaml"
