operation_id,canonical_name,owner,actors,surfaces,operation_type,trigger,state_effect,classification,source_trace
esf_home_get,esf_home_get,services/esf,client,app-client,READ,query_or_screen_load,read_only,esf_catalog:read,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_matches_inbox,esf_matches_inbox,services/esf,client,app-client,READ,query_or_screen_load,read_only,esf_catalog:read,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_match_get,esf_match_get,services/esf,client,app-client,READ,query_or_screen_load,read_only,esf_catalog:read,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_match_respond,esf_match_respond,services/esf,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,esf_catalog:mutation,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_requests_list,esf_requests_list,services/esf,client,app-client,READ,query_or_screen_load,read_only,esf_catalog:read,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_requests_search,esf_requests_search,services/esf,client,app-client,READ,query_or_screen_load,read_only,esf_catalog:read,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_request_get,esf_request_get,services/esf,client,app-client,READ,query_or_screen_load,read_only,esf_catalog:read,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_request_create,esf_request_create,services/esf,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,esf_catalog:mutation,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_request_cancel,esf_request_cancel,services/esf,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,esf_catalog:mutation,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_availability_update,esf_availability_update,services/esf,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,esf_catalog:mutation,services/esf/governance/ESF_OPERATION_CATALOG.csv
esf_sync_catalog,esf_sync_catalog,services/esf,ops|catalog,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,esf_catalog:mutation,docs/services/esf/06_SURFACE_CLASSIFICATION.md
