screen_id,canonical_name,donor_aliases,unit_type,surface,actor,route,related_operations,related_journeys,primary_cta,states,donor_trace
SCR_1,esf_app_client_hub,esf_app_client_hub,route_page,app-client,client,/esf/home,esf_home_get|esf_matches_inbox|esf_match_get|esf_match_respond|esf_requests_list|esf_requests_search|esf_request_get|esf_request_create|esf_request_cancel|esf_availability_update,esf_client_catalog_flow,open_workspace,loading|empty|error|success|offline|disabled,docs/services/esf/06_SURFACE_CLASSIFICATION.md
SCR_2,esf_control_catalog_hub,esf_control_catalog_hub,route_page,control-panel,ops|catalog,/catalog/esf,esf_sync_catalog,esf_control_catalog_ops,open_catalog_workspace,loading|empty|error|success|offline|disabled,docs/services/esf/06_SURFACE_CLASSIFICATION.md
SCR_3,esf_home_get,esf_home_get,component_screen,app-client,client,/esf/feed,esf_home_get,esf_client_catalog_flow,open_view,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_4,esf_matches_inbox,esf_matches_inbox,component_screen,app-client,client,/esf/matches/inbox,esf_matches_inbox,esf_client_catalog_flow,open_view,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_5,esf_match_get,esf_match_get,component_screen,app-client,client,/esf/matches/get,esf_match_get,esf_client_catalog_flow,open_view,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_6,esf_match_respond,esf_match_respond,component_screen,app-client,client,/esf/matches/respond,esf_match_respond,esf_client_catalog_flow,submit_respond,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_7,esf_requests_list,esf_requests_list,component_screen,app-client,client,/esf/requests,esf_requests_list,esf_client_catalog_flow,open_view,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_8,esf_requests_search,esf_requests_search,component_screen,app-client,client,/esf/requests/search,esf_requests_search,esf_client_catalog_flow,open_view,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_9,esf_request_get,esf_request_get,component_screen,app-client,client,/esf/requests/get,esf_request_get,esf_client_catalog_flow,open_view,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_10,esf_request_create,esf_request_create,component_screen,app-client,client,/esf/requests/create,esf_request_create,esf_client_catalog_flow,submit_create,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_11,esf_request_cancel,esf_request_cancel,component_screen,app-client,client,/esf/requests/cancel,esf_request_cancel,esf_client_catalog_flow,submit_cancel,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
SCR_12,esf_availability_update,esf_availability_update,component_screen,app-client,client,/esf/availability/update,esf_availability_update,esf_client_catalog_flow,submit_update,loading|empty|error|success|offline|disabled,services/esf/governance/ESF_TRACEABILITY.csv
