screen_id,canonical_name,surface,actor,group_name,mapped_wave,related_operations
SCR_1,esf_app_client_hub,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_home_get|esf_matches_inbox|esf_match_get|esf_match_respond|esf_requests_list|esf_requests_search|esf_request_get|esf_request_create|esf_request_cancel|esf_availability_update
SCR_2,esf_control_catalog_hub,control-panel,ops|catalog,esf_control_catalog_ops,W03_CONTROL_CATALOG,esf_sync_catalog
SCR_3,esf_home_get,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_home_get
SCR_4,esf_matches_inbox,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_matches_inbox
SCR_5,esf_match_get,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_match_get
SCR_6,esf_match_respond,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_match_respond
SCR_7,esf_requests_list,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_requests_list
SCR_8,esf_requests_search,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_requests_search
SCR_9,esf_request_get,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_request_get
SCR_10,esf_request_create,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_request_create
SCR_11,esf_request_cancel,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_request_cancel
SCR_12,esf_availability_update,app-client,client,esf_client_catalog_flow,W01_APP_CLIENT,esf_availability_update
