operation_id,family,operation_type,trigger,preconditions,steps,state_effect,success_outcome,failure_modes,retry_policy,binding_chain,source_trace
esf_home_get,esf_catalog,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_matches_inbox,esf_catalog,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_match_get,esf_catalog,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_match_respond,esf_catalog,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_requests_list,esf_catalog,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_requests_search,esf_catalog,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_request_get,esf_catalog,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_request_create,esf_catalog,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_request_cancel,esf_catalog,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_availability_update,esf_catalog,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
esf_sync_catalog,esf_catalog,MUTATION,primary_cta_or_workflow_step,catalog entitlement + valid payload,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/esf/07_OPERATION_CATALOG.csv
