"operation_id","canonical_name","actors","surfaces","classification","trigger","state_effect","source_trace"
"knz_auction_close","knz_auction_close","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_auction_close/OP_SPEC.yaml"
"knz_auction_create","knz_auction_create","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_auction_create/OP_SPEC.yaml"
"knz_auction_get","knz_auction_get","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_auction_get/OP_SPEC.yaml"
"knz_auction_winner_confirm","knz_auction_winner_confirm","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_auction_winner_confirm/OP_SPEC.yaml"
"knz_bid_place","knz_bid_place","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_bid_place/OP_SPEC.yaml"
"knz_booking_create","knz_booking_create","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_booking_create/OP_SPEC.yaml"
"knz_cart_get","knz_cart_get","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_cart_get/OP_SPEC.yaml"
"knz_cart_init","knz_cart_init","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_cart_init/OP_SPEC.yaml"
"knz_cart_item_add","knz_cart_item_add","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_cart_item_add/OP_SPEC.yaml"
"knz_cart_item_remove","knz_cart_item_remove","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_cart_item_remove/OP_SPEC.yaml"
"knz_cart_item_update","knz_cart_item_update","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_cart_item_update/OP_SPEC.yaml"
"knz_chat_message_send","knz_chat_message_send","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_chat_message_send/OP_SPEC.yaml"
"knz_chat_thread_list","knz_chat_thread_list","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_chat_thread_list/OP_SPEC.yaml"
"knz_deal_create","knz_deal_create","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_deal_create/OP_SPEC.yaml"
"knz_deal_escrow_hold","knz_deal_escrow_hold","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_deal_escrow_hold/OP_SPEC.yaml"
"knz_estimate_create","knz_estimate_create","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_estimate_create/OP_SPEC.yaml"
"knz_estimate_get","knz_estimate_get","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_estimate_get/OP_SPEC.yaml"
"knz_listing_accept","knz_listing_accept","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_listing_accept/OP_SPEC.yaml"
"knz_listing_complete","knz_listing_complete","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_listing_complete/OP_SPEC.yaml"
"knz_listing_create","knz_listing_create","user;control_panel_op","app-client|control-panel","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_listing_create/OP_SPEC.yaml"
"knz_listing_report","knz_listing_report","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_listing_report/OP_SPEC.yaml"
"knz_listing_status_update","knz_listing_status_update","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_listing_status_update/OP_SPEC.yaml"
"knz_listings_list","knz_listings_list","app_client","app-client","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_listings_list/OP_SPEC.yaml"
"knz_moderation_action","knz_moderation_action","control-panel","control-panel","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_moderation_action/OP_SPEC.yaml"
"knz_moderation_scan_submit","knz_moderation_scan_submit","control-panel","control-panel","knz_general:mutation","primary_cta_or_workflow_step","state_mutation","services/knz/governance/operations/knz_moderation_scan_submit/OP_SPEC.yaml"

