"screen_id","canonical_name","surface","actor","route","related_operations","primary_cta","states","donor_trace"
"SCR_26","knz_service-catalog_services_knz","control-panel","ops|admin","/service-catalog/services/knz","knz_moderation_action|knz_moderation_scan_submit","open_service_catalog","loading|empty|error|success|offline|disabled","apps/web/control-panel/app/service-catalog/services/knz/page.tsx"
"SCR_27","knz_auction_get","app-client","customer","no_route_component","knz_auction_get","open_get_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_auction_get.tsx"
"SCR_28","knz_auctions_list","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_list_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_auctions_list.tsx"
"SCR_29","knz_cart_get","app-client","customer","no_route_component","knz_cart_get","open_get_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_cart_get.tsx"
"SCR_30","knz_cart_item_add","app-client","customer","no_route_component","knz_cart_item_add","execute_add","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_cart_item_add.tsx"
"SCR_31","knz_categories_list","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_list_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_categories_list.tsx"
"SCR_32","knz_chat_message_send","app-client","customer","no_route_component","knz_chat_message_send","execute_send","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_chat_message_send.tsx"
"SCR_33","knz_chat_thread_list","app-client","customer","no_route_component","knz_chat_thread_list","open_list_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_chat_thread_list.tsx"
"SCR_34","knz_favorite_toggle","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_favorite","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_favorite_toggle.tsx"
"SCR_35","knz_favorites_list","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_list_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_favorites_list.tsx"
"SCR_36","knz_home_get","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_get_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_home_get.tsx"
"SCR_37","knz_listing_create","app-client","customer","no_route_component","knz_listing_create","execute_create","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_create.tsx"
"SCR_38","knz_listing_delete","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","execute_delete","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_delete.tsx"
"SCR_39","knz_listing_get","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_get_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_get.tsx"
