"queue_order","wave_id","item_id","item_type","canonical_name","surface","screen_group","execution_strategy","implementation_action","owner_layer","target_repo_path","files_to_touch","depends_on","opens_next","ui_kit_prereq","contract_prereq","binding_prereq","runtime_prereq","acceptance_gate","status","blocked_by","notes"
"1","W01_FIRST_ACTIVE_BUNDLE","SCR_29","screen","knz_cart_get","app-client","client_market_discovery","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q2","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"2","W01_FIRST_ACTIVE_BUNDLE","SCR_30","screen","knz_cart_item_add","app-client","client_market_discovery","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q3","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"3","W01_FIRST_ACTIVE_BUNDLE","SCR_31","screen","knz_categories_list","app-client","client_market_discovery","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q4","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"4","W01_FIRST_ACTIVE_BUNDLE","SCR_34","screen","knz_favorite_toggle","app-client","client_market_discovery","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q5","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"5","W01_FIRST_ACTIVE_BUNDLE","SCR_35","screen","knz_favorites_list","app-client","client_market_discovery","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q6","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"6","W01_FIRST_ACTIVE_BUNDLE","SCR_36","screen","knz_home_get","app-client","client_market_discovery","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q7","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"7","W01_FIRST_ACTIVE_BUNDLE","SCR_42","screen","knz_listings_list","app-client","client_market_discovery","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q8","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"8","W01_FIRST_ACTIVE_BUNDLE","SCR_43","screen","knz_listings_search","app-client","client_market_discovery","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q9","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"9","W04_SUPPORT_AND_MODERATION","SCR_53","screen","knz_account_screen","app-client","client_misc","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q10","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"10","W02_MARKETPLACE_FLOW","SCR_27","screen","knz_auction_get","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q11","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"11","W02_MARKETPLACE_FLOW","SCR_28","screen","knz_auctions_list","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q12","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"12","W02_MARKETPLACE_FLOW","SCR_32","screen","knz_chat_message_send","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q13","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"13","W02_MARKETPLACE_FLOW","SCR_33","screen","knz_chat_thread_list","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q14","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"14","W04_SUPPORT_AND_MODERATION","SCR_45","screen","knz_delivery_by_seller_notice","app-client","client_misc","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q15","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"15","W02_MARKETPLACE_FLOW","SCR_37","screen","knz_listing_create","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q16","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"16","W02_MARKETPLACE_FLOW","SCR_38","screen","knz_listing_delete","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q17","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"17","W02_MARKETPLACE_FLOW","SCR_39","screen","knz_listing_get","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q18","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"18","W02_MARKETPLACE_FLOW","SCR_40","screen","knz_listing_report","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q19","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"19","W02_MARKETPLACE_FLOW","SCR_46","screen","knz_listing_type_badge","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q20","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"20","W02_MARKETPLACE_FLOW","SCR_41","screen","knz_listing_update","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q21","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"21","W04_SUPPORT_AND_MODERATION","SCR_44","screen","knz_my_listings","app-client","client_misc","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q22","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"22","W04_SUPPORT_AND_MODERATION","SCR_54","screen","knz_page_screen","app-client","client_misc","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q23","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"23","W04_SUPPORT_AND_MODERATION","SCR_47","screen","knz_policy_disclaimer","app-client","client_misc","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q24","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"24","W04_SUPPORT_AND_MODERATION","SCR_48","screen","knz_promoted_badge","app-client","client_misc","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q25","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"25","W02_MARKETPLACE_FLOW","SCR_49","screen","knz_promotion_sheet","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q26","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"26","W02_MARKETPLACE_FLOW","SCR_51","screen","knz_rating_submit_sheet","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q27","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
"27","W02_MARKETPLACE_FLOW","SCR_52","screen","knz_rating_summary","app-client","client_market_actions","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/knz","surface component + hook + route shell","W00_FOUNDATION","Q28","required","deferred_to_w08","deferred_to_w08","no","A+B+C","queue_ready","","donor_trace_mapped"
