"screen_or_wave_id","required_token_group","required_layout_primitives","required_cards","required_inputs","required_feedback_patterns","required_navigation_patterns","required_sheet_modal_patterns","required_state_shells","missing_now","must_build_before_screen","status"
"SCR_29","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_30","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_31","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_34","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_35","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_36","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_42","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_43","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_53","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_27","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
