"screen_id","component_name","target_component_path","shared_or_local","depends_on_ui_kit","owner","status"
"SCR_26","knz_service-catalog_services_knz","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_27","knz_auction_get","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_28","knz_auctions_list","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_29","knz_cart_get","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_30","knz_cart_item_add","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_31","knz_categories_list","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_32","knz_chat_message_send","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_33","knz_chat_thread_list","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_34","knz_favorite_toggle","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_35","knz_favorites_list","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_36","knz_home_get","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_37","knz_listing_create","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_38","knz_listing_delete","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_39","knz_listing_get","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_40","knz_listing_report","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_41","knz_listing_update","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_42","knz_listings_list","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_43","knz_listings_search","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_44","knz_my_listings","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_45","knz_delivery_by_seller_notice","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_46","knz_listing_type_badge","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_47","knz_policy_disclaimer","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_48","knz_promoted_badge","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_49","knz_promotion_sheet","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_50","knz_ratings_list","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_51","knz_rating_submit_sheet","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_52","knz_rating_summary","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_53","knz_account_screen","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_54","knz_page_screen","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_55","knz_listing_create_screen","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_56","knz_listing_delete_screen","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_57","knz_listings_list_screen","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_58","knz_listing_update_screen","packages/surfaces/src/knz","shared_first","yes","packages/surfaces","seeded_locked"
