"screen_id","viewmodel_id","hook_or_controller_name","target_package_or_app","api_client_needed","read_models","write_actions","error_normalization_required","status"
"SCR_26","vm_knz_service-catalog_services_knz","use_knz_service-catalog_services_knz","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_27","vm_knz_auction_get","use_knz_auction_get","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_28","vm_knz_auctions_list","use_knz_auctions_list","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_29","vm_knz_cart_get","use_knz_cart_get","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_30","vm_knz_cart_item_add","use_knz_cart_item_add","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_31","vm_knz_categories_list","use_knz_categories_list","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_32","vm_knz_chat_message_send","use_knz_chat_message_send","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_33","vm_knz_chat_thread_list","use_knz_chat_thread_list","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_34","vm_knz_favorite_toggle","use_knz_favorite_toggle","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_35","vm_knz_favorites_list","use_knz_favorites_list","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_36","vm_knz_home_get","use_knz_home_get","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_37","vm_knz_listing_create","use_knz_listing_create","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_38","vm_knz_listing_delete","use_knz_listing_delete","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_39","vm_knz_listing_get","use_knz_listing_get","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_40","vm_knz_listing_report","use_knz_listing_report","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_41","vm_knz_listing_update","use_knz_listing_update","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_42","vm_knz_listings_list","use_knz_listings_list","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_43","vm_knz_listings_search","use_knz_listings_search","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_44","vm_knz_my_listings","use_knz_my_listings","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_45","vm_knz_delivery_by_seller_notice","use_knz_delivery_by_seller_notice","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_46","vm_knz_listing_type_badge","use_knz_listing_type_badge","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_47","vm_knz_policy_disclaimer","use_knz_policy_disclaimer","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_48","vm_knz_promoted_badge","use_knz_promoted_badge","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_49","vm_knz_promotion_sheet","use_knz_promotion_sheet","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_50","vm_knz_ratings_list","use_knz_ratings_list","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_51","vm_knz_rating_submit_sheet","use_knz_rating_submit_sheet","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_52","vm_knz_rating_summary","use_knz_rating_summary","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_53","vm_knz_account_screen","use_knz_account_screen","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_54","vm_knz_page_screen","use_knz_page_screen","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_55","vm_knz_listing_create_screen","use_knz_listing_create_screen","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_56","vm_knz_listing_delete_screen","use_knz_listing_delete_screen","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_57","vm_knz_listings_list_screen","use_knz_listings_list_screen","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
"SCR_58","vm_knz_listing_update_screen","use_knz_listing_update_screen","packages/surfaces","yes","knz read models","operation-bound actions","yes","seeded_locked"
