"operation_id","service_method_name","target_service_path","input_shape","output_shape","policy_notes","audit_trace_required","idempotency_required","runtime_truth_class","status"
"knz_auction_close","knz_auction_close","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_auction_create","knz_auction_create","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_auction_get","knz_auction_get","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_auction_winner_confirm","knz_auction_winner_confirm","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_bid_place","knz_bid_place","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_booking_create","knz_booking_create","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_cart_get","knz_cart_get","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_cart_init","knz_cart_init","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_cart_item_add","knz_cart_item_add","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_cart_item_remove","knz_cart_item_remove","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_cart_item_update","knz_cart_item_update","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_chat_message_send","knz_chat_message_send","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_chat_thread_list","knz_chat_thread_list","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_deal_create","knz_deal_create","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_deal_escrow_hold","knz_deal_escrow_hold","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_estimate_create","knz_estimate_create","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_estimate_get","knz_estimate_get","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_listing_accept","knz_listing_accept","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_listing_complete","knz_listing_complete","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_listing_create","knz_listing_create","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_listing_report","knz_listing_report","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_listing_status_update","knz_listing_status_update","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_listings_list","knz_listings_list","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_moderation_action","knz_moderation_action","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
"knz_moderation_scan_submit","knz_moderation_scan_submit","services/knz/src","dto_request","dto_response","guards + rbac + idempotency where required","yes","no","contract-backed","seeded_locked"
