"operation_id","canonical_chain","raw_bypasses_forbidden","verification_rule","current_status"
"knz_auction_close","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_auction_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_auction_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_auction_winner_confirm","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_bid_place","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_booking_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_cart_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_cart_init","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_cart_item_add","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_cart_item_remove","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_cart_item_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_chat_message_send","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_chat_thread_list","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_deal_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_deal_escrow_hold","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_estimate_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_estimate_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_listing_accept","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_listing_complete","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_listing_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_listing_report","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_listing_status_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_listings_list","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_moderation_action","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"knz_moderation_scan_submit","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
