"operation_id","runtime_class","fixture_backed","bind_ready","runtime_ready","proof_ready","notes"
"knz_auction_close","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_auction_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_auction_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_auction_winner_confirm","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_bid_place","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_booking_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_cart_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_cart_init","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_cart_item_add","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_cart_item_remove","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_cart_item_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_chat_message_send","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_chat_thread_list","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_deal_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_deal_escrow_hold","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_estimate_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_estimate_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_listing_accept","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_listing_complete","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_listing_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_listing_report","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_listing_status_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_listings_list","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_moderation_action","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"knz_moderation_scan_submit","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
