"screen_id","loading_state","empty_state","filtered_empty_state","disabled_state","offline_state","validation_error_state","upstream_failure_state","retry_state","stale_state","partial_state","success_state","notes"
"SCR_26","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_27","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_28","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_29","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_30","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_31","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_32","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_33","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_34","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_35","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_36","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_37","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_38","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_39","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_40","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_41","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_42","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_43","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_44","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_45","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_46","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_47","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_48","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_49","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_50","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_51","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_52","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_53","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_54","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_55","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_56","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_57","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
"SCR_58","required","required","required","required","required","required","required","required","required","required","required","state shell alignment required with packages/ui-kit state shells"
