"screen_id","canonical_name","surface","actor","screen_group","mapped_wave","execution_strategy","implementation_action","route","related_operations","source_trace"
"SCR_26","knz_service-catalog_services_knz","control-panel","ops|admin","control_general_ops","W03_CONTROL_PANEL_CORE","rebuild_clean_ui_first","build_surface_then_bind","/service-catalog/services/knz","knz_moderation_action|knz_moderation_scan_submit","apps/web/control-panel/app/service-catalog/services/knz/page.tsx"
"SCR_27","knz_auction_get","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_auction_get","packages/surfaces/src/knz/app-client/mobile/auto_knz_auction_get.tsx"
"SCR_28","knz_auctions_list","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_auctions_list.tsx"
"SCR_29","knz_cart_get","app-client","customer","client_market_discovery","W01_FIRST_ACTIVE_BUNDLE","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_cart_get","packages/surfaces/src/knz/app-client/mobile/auto_knz_cart_get.tsx"
"SCR_30","knz_cart_item_add","app-client","customer","client_market_discovery","W01_FIRST_ACTIVE_BUNDLE","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_cart_item_add","packages/surfaces/src/knz/app-client/mobile/auto_knz_cart_item_add.tsx"
"SCR_31","knz_categories_list","app-client","customer","client_market_discovery","W01_FIRST_ACTIVE_BUNDLE","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_categories_list.tsx"
"SCR_32","knz_chat_message_send","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_chat_message_send","packages/surfaces/src/knz/app-client/mobile/auto_knz_chat_message_send.tsx"
"SCR_33","knz_chat_thread_list","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_chat_thread_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_chat_thread_list.tsx"
"SCR_34","knz_favorite_toggle","app-client","customer","client_market_discovery","W01_FIRST_ACTIVE_BUNDLE","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_favorite_toggle.tsx"
"SCR_35","knz_favorites_list","app-client","customer","client_market_discovery","W01_FIRST_ACTIVE_BUNDLE","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_favorites_list.tsx"
"SCR_36","knz_home_get","app-client","customer","client_market_discovery","W01_FIRST_ACTIVE_BUNDLE","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_home_get.tsx"
"SCR_37","knz_listing_create","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_create.tsx"
"SCR_38","knz_listing_delete","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_delete.tsx"
"SCR_39","knz_listing_get","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_get.tsx"
