"operation_id","family","operation_type","trigger","preconditions","steps","state_effect","success_outcome","failure_modes","retry_policy","binding_chain","source_trace"
"knz_auction_close","listing_market","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_auction_close/OP_SPEC.yaml"
"knz_auction_create","listing_market","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_auction_create/OP_SPEC.yaml"
"knz_auction_get","listing_market","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_auction_get/OP_SPEC.yaml"
"knz_auction_winner_confirm","listing_market","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_auction_winner_confirm/OP_SPEC.yaml"
"knz_bid_place","general_knz","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_bid_place/OP_SPEC.yaml"
"knz_booking_create","general_knz","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_booking_create/OP_SPEC.yaml"
"knz_cart_get","general_knz","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_cart_get/OP_SPEC.yaml"
"knz_cart_init","general_knz","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_cart_init/OP_SPEC.yaml"
"knz_cart_item_add","general_knz","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_cart_item_add/OP_SPEC.yaml"
"knz_cart_item_remove","general_knz","MUTATION","primary_cta_or_workflow_step","actor entitlement + valid input + route context","authorize -> validate -> mutate -> emit_domain_event -> project","state_transition","normalized response + updated screen state","validation_error|policy_denied|not_found|upstream_failure|timeout","idempotent retry where safe; otherwise explicit user action","screen -> viewmodel -> api-client -> service-method -> contract","services/knz/governance/operations/knz_cart_item_remove/OP_SPEC.yaml"
